ensg	tissue	expressing_mass_fraction	n_scored_ts	n_expr_ts	tissue_cells_scored	dilution_usable
ENSG00000000003	heart	0.0	2.0	0.0	8415.0	False
ENSG00000000003	liver	0.082312167347444	2.0	1.0	8079.0	True
ENSG00000000003	lung	0.0	1.0	0.0	16486.0	True
ENSG00000000003	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000000003	skin	0.003291794027745121	3.0	1.0	4253.0	True
ENSG00000000003	spleen	0.0	4.0	0.0	19920.0	True
ENSG00000000003	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000000419	heart	1.0	2.0	2.0	8415.0	False
ENSG00000000419	liver	1.0	2.0	2.0	8079.0	True
ENSG00000000419	lung	1.0	1.0	1.0	16486.0	True
ENSG00000000419	pancreas	1.0	1.0	1.0	5482.0	True
ENSG00000000419	skin	1.0	3.0	3.0	4253.0	True
ENSG00000000419	spleen	1.0	4.0	4.0	19920.0	True
ENSG00000000419	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000000457	heart	1.0	2.0	2.0	8415.0	False
ENSG00000000457	liver	0.917687832652556	2.0	1.0	8079.0	True
ENSG00000000457	lung	1.0	1.0	1.0	16486.0	True
ENSG00000000457	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000000457	skin	1.0	3.0	3.0	4253.0	True
ENSG00000000457	spleen	0.8387550200803213	4.0	2.0	19920.0	True
ENSG00000000457	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000000457	testis	0.9907073509015256	4.0	3.0	7210.0	True
ENSG00000000460	heart	1.0	2.0	2.0	8415.0	False
ENSG00000000460	liver	0.917687832652556	2.0	1.0	8079.0	True
ENSG00000000460	lung	1.0	1.0	1.0	16486.0	True
ENSG00000000460	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000000460	skin	0.9750764166470727	3.0	2.0	4253.0	True
ENSG00000000460	spleen	0.1612449799196787	4.0	2.0	19920.0	True
ENSG00000000460	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000000938	heart	0.0	2.0	0.0	8415.0	False
ENSG00000000938	liver	0.0	2.0	0.0	8079.0	True
ENSG00000000938	lung	0.3969756074068723	6.0	1.0	41529.0	True
ENSG00000000938	pancreas	0.0	5.0	0.0	5643.0	True
ENSG00000000938	skin	0.0	3.0	0.0	4253.0	True
ENSG00000000938	spleen	0.1612449799196787	4.0	2.0	19920.0	True
ENSG00000000938	stomach	0.0	2.0	0.0	1626.0	False
ENSG00000000971	heart	0.0	2.0	0.0	8415.0	False
ENSG00000000971	liver	0.0	2.0	0.0	8079.0	True
ENSG00000000971	lung	0.0	1.0	0.0	16486.0	True
ENSG00000000971	pancreas	0.0	5.0	0.0	5643.0	True
ENSG00000000971	skin	0.0	3.0	0.0	686.0	True
ENSG00000000971	spleen	0.0	4.0	0.0	19920.0	True
ENSG00000000971	stomach	0.0	2.0	0.0	1626.0	False
ENSG00000000971	testis	0.5653259361997226	4.0	2.0	7210.0	True
ENSG00000001036	heart	0.0	2.0	0.0	8415.0	False
ENSG00000001036	liver	0.0	2.0	0.0	8079.0	True
ENSG00000001036	lung	0.0	1.0	0.0	16486.0	True
ENSG00000001036	pancreas	0.0	5.0	0.0	5643.0	True
ENSG00000001036	skin	0.0	3.0	0.0	4253.0	True
ENSG00000001036	spleen	0.0	4.0	0.0	19920.0	True
ENSG00000001036	stomach	0.0	2.0	0.0	1626.0	False
ENSG00000001036	testis	0.5649098474341193	4.0	2.0	7210.0	True
ENSG00000001084	heart	1.0	2.0	2.0	8415.0	False
ENSG00000001084	liver	1.0	2.0	2.0	8079.0	True
ENSG00000001084	lung	1.0	1.0	1.0	16486.0	True
ENSG00000001084	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000001084	skin	0.003291794027745121	3.0	1.0	4253.0	True
ENSG00000001084	spleen	0.1612449799196787	4.0	2.0	19920.0	True
ENSG00000001084	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000001167	heart	1.0	2.0	2.0	8415.0	False
ENSG00000001167	liver	0.082312167347444	2.0	1.0	8079.0	True
ENSG00000001167	lung	1.0	6.0	6.0	41529.0	True
ENSG00000001167	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000001167	skin	1.0	3.0	3.0	4253.0	True
ENSG00000001167	spleen	1.0	4.0	4.0	19920.0	True
ENSG00000001167	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000001167	testis	0.4346740638002774	4.0	2.0	7210.0	True
ENSG00000001461	heart	1.0	2.0	2.0	8415.0	False
ENSG00000001461	liver	1.0	2.0	2.0	8079.0	True
ENSG00000001461	lung	1.0	1.0	1.0	16486.0	True
ENSG00000001461	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000001461	skin	1.0	3.0	3.0	4253.0	True
ENSG00000001461	spleen	1.0	4.0	4.0	19920.0	True
ENSG00000001461	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000001461	testis	0.008876560332871012	4.0	1.0	7210.0	True
ENSG00000001497	heart	1.0	2.0	2.0	8415.0	False
ENSG00000001497	liver	1.0	2.0	2.0	8079.0	True
ENSG00000001497	lung	1.0	6.0	6.0	41529.0	True
ENSG00000001497	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000001497	skin	1.0	3.0	3.0	4253.0	True
ENSG00000001497	spleen	1.0	4.0	4.0	19920.0	True
ENSG00000001497	stomach	1.0	2.0	2.0	1626.0	False
ENSG00000001497	testis	1.0	4.0	4.0	7210.0	True
ENSG00000001561	heart	1.0	2.0	2.0	8415.0	False
ENSG00000001561	liver	1.0	2.0	2.0	8079.0	True
ENSG00000001561	lung	1.0	1.0	1.0	16486.0	True
ENSG00000001561	pancreas	1.0	5.0	5.0	5643.0	True
ENSG00000001561	skin	0.003291794027745121	3.0	1.0	4253.0	True
ENSG00000001561	spleen	0.1612449799196787	4.0	2.0	19920.0	True
