ensg	tissue	n_celltypes	n_pos_celltypes	ihc_present	frac_pos_celltypes	best_reliability
ENSG00000000003	cerebral_cortex	4	1	True	0.25	Approved
ENSG00000000003	colon	3	1	True	0.3333333333333333	Approved
ENSG00000000003	heart	1	0	False	0.0	Approved
ENSG00000000003	kidney	2	1	True	0.5	Approved
ENSG00000000003	liver	2	1	True	0.5	Approved
ENSG00000000003	lung	2	1	True	0.5	Approved
ENSG00000000003	lymph_node	2	0	False	0.0	Approved
ENSG00000000003	pancreas	2	2	True	1.0	Approved
ENSG00000000003	skin	5	2	True	0.4	Approved
ENSG00000000003	spleen	2	0	False	0.0	Approved
ENSG00000000003	stomach	2	2	True	1.0	Approved
ENSG00000000003	testis	2	2	True	1.0	Approved
ENSG00000000419	cerebral_cortex	4	4	True	1.0	Approved
ENSG00000000419	colon	3	3	True	1.0	Approved
ENSG00000000419	heart	1	1	True	1.0	Approved
ENSG00000000419	kidney	2	2	True	1.0	Approved
ENSG00000000419	liver	2	2	True	1.0	Approved
ENSG00000000419	lung	2	2	True	1.0	Approved
ENSG00000000419	lymph_node	2	2	True	1.0	Approved
ENSG00000000419	pancreas	1	1	True	1.0	Approved
ENSG00000000419	skin	5	5	True	1.0	Approved
ENSG00000000419	spleen	2	2	True	1.0	Approved
ENSG00000000419	stomach	2	2	True	1.0	Approved
ENSG00000000419	testis	2	2	True	1.0	Approved
ENSG00000000457	cerebral_cortex	4	4	True	1.0	Approved
ENSG00000000457	colon	3	3	True	1.0	Approved
ENSG00000000457	heart	1	1	True	1.0	Approved
ENSG00000000457	kidney	2	2	True	1.0	Approved
ENSG00000000457	liver	2	1	True	0.5	Approved
ENSG00000000457	lung	2	1	True	0.5	Approved
ENSG00000000457	lymph_node	2	2	True	1.0	Approved
ENSG00000000457	pancreas	2	2	True	1.0	Approved
ENSG00000000457	skin	5	5	True	1.0	Approved
ENSG00000000457	spleen	2	1	True	0.5	Approved
ENSG00000000457	stomach	2	2	True	1.0	Approved
ENSG00000000457	testis	8	4	True	0.5	Approved
ENSG00000000460	cerebral_cortex	4	3	True	0.75	Uncertain
ENSG00000000460	colon	3	1	True	0.3333333333333333	Uncertain
ENSG00000000460	heart	1	1	True	1.0	Uncertain
ENSG00000000460	kidney	2	2	True	1.0	Uncertain
ENSG00000000460	liver	2	1	True	0.5	Uncertain
ENSG00000000460	lung	2	2	True	1.0	Uncertain
ENSG00000000460	lymph_node	2	2	True	1.0	Uncertain
ENSG00000000460	pancreas	2	2	True	1.0	Uncertain
ENSG00000000460	skin	5	4	True	0.8	Uncertain
ENSG00000000460	spleen	2	1	True	0.5	Uncertain
ENSG00000000460	stomach	2	2	True	1.0	Uncertain
ENSG00000000460	testis	2	2	True	1.0	Uncertain
ENSG00000000938	cerebral_cortex	4	0	False	0.0	Enhanced
ENSG00000000938	colon	3	0	False	0.0	Enhanced
