platform	arm	feature_id	uniprot	gene	ensg	n_samples	det_rate	det_rate_TDR1	det_rate_TDR4	mean_value	mean_value_detected	n_sequences	n_proteotypic	present	present_TDR1	present_TDR4
MS	Media	A0A075B767	A0A075B767	PPIAL4H	ENSG00000270339	10.0	0.9	1.0	0.8	29.28858412947409	29.28858412947409	2.0	0.0	1	1	1
MS	Media	A0A0B4J1V0;A0A0B4J1Y9;A0A0B4J1V6	A0A0B4J1V0	IGHV3-15		10.0	1.0	1.0	1.0	21.447350593343472	21.447350593343472	1.0	0.0	1	1	1
MS	Media	A0A0B4J2F0	A0A0B4J2F0	PIGBOS1		10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A0A0C4DH55;A0A075B6H7;P01624	A0A0C4DH55	IGKV3-15	ENSG00000228325	10.0	0.2	0.2	0.2	20.410989500356177	20.410989500356177	1.0	0.0	0	0	0
MS	Media	A0A0J9YX94	A0A0J9YX94	PNMA6F		10.0	0.0	0.0	0.0			4.0	4.0	0	0	0
MS	Media	A0A0U1RR11;P0DPI3	A0A0U1RR11	CENPVL1		10.0	0.0	0.0	0.0			1.0	0.0	0	0	0
MS	Media	A0A0U1RRE5	A0A0U1RRE5	NBDY		10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A0A0U1RRI6	A0A0U1RRI6	CENPVL3		10.0	0.0	0.0	0.0			9.0	3.0	0	0	0
MS	Media	A0A0U1RRL7	A0A0U1RRL7	MMP24OS		10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A0A1B0GUI7	A0A1B0GUI7	BRD3OS		10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A0A1B0GUJ8	A0A1B0GUJ8	PNMA8C		10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A0A1B0GUW7	A0A1B0GUW7	SMIM27		10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A0A1W2PQ72	A0A1W2PQ72	MSANTD7		10.0	0.0	0.0	0.0			4.0	4.0	0	0	0
MS	Media	A0A2Z4LIS9	A0A2Z4LIS9	FOXO3B		10.0	0.0	0.0	0.0			5.0	2.0	0	0	0
MS	Media	A0A3B3IRV3	A0A3B3IRV3	MCTS2		10.0	0.0	0.0	0.0			3.0	3.0	0	0	0
MS	Media	A0A494C030	A0A494C030	LOC114841035		10.0	0.0	0.0	0.0			3.0	3.0	0	0	0
MS	Media	A0A590UJ96	A0A590UJ96	LOC122526780		10.0	0.0	0.0	0.0			13.0	13.0	0	0	0
MS	Media	A0A6I8PU40	A0A6I8PU40	TUG1		10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A0A6Q8PH20	A0A6Q8PH20	CAST	ENSG00000153113	10.0	0.0	0.0	0.0			14.0	14.0	0	0	0
MS	Media	A0A7I2V3R4	A0A7I2V3R4	RNF228		10.0	0.0	0.0	0.0			3.0	3.0	0	0	0
MS	Media	A0A994J5G1	A0A994J5G1	TUBA3FP		10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A0AAG2UWQ9	A0AAG2UWQ9	NKRF		10.0	0.0	0.0	0.0			26.0	26.0	0	0	0
MS	Media	A0ABB0MV19	A0ABB0MV19			10.0	0.0	0.0	0.0			9.0	9.0	0	0	0
MS	Media	A0AV96	A0AV96	RBM47	ENSG00000163694	10.0	0.0	0.0	0.0			12.0	10.0	0	0	0
MS	Media	A0AVF1	A0AVF1	IFT56	ENSG00000105948	10.0	0.0	0.0	0.0			16.0	16.0	0	0	0
MS	Media	A0AVI4	A0AVI4	TMEM129	ENSG00000168936	10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A0AVT1	A0AVT1	UBA6	ENSG00000033178	10.0	0.4	0.6	0.2	25.488006518511256	25.488006518511256	56.0	56.0	0	0	0
MS	Media	A0FGR8	A0FGR8	ESYT2	ENSG00000117868	10.0	0.0	0.0	0.0			27.0	27.0	0	0	0
MS	Media	A0JLT2	A0JLT2	MED19	ENSG00000156603	10.0	0.0	0.0	0.0			4.0	4.0	0	0	0
MS	Media	A0JNW5	A0JNW5	BLTP3B	ENSG00000111647	10.0	0.1	0.2	0.0	20.11799306019848	20.11799306019848	22.0	22.0	0	0	0
MS	Media	A0MZ66	A0MZ66	SHTN1	ENSG00000187164	10.0	0.0	0.0	0.0			34.0	34.0	0	0	0
MS	Media	A0PJW6	A0PJW6	TMEM223	ENSG00000168569	10.0	0.0	0.0	0.0			3.0	3.0	0	0	0
MS	Media	A0PK00	A0PK00	TMEM120B	ENSG00000188735	10.0	0.0	0.0	0.0			3.0	3.0	0	0	0
MS	Media	A1A4G5	A1A4G5	LNP1	ENSG00000206535	10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A1A5C7	A1A5C7	SLC22A23	ENSG00000137266	10.0	0.0	0.0	0.0			8.0	8.0	0	0	0
MS	Media	A1L020	A1L020	MEX3A	ENSG00000254726	10.0	0.0	0.0	0.0			15.0	13.0	0	0	0
MS	Media	A1L0T0	A1L0T0	ILVBL	ENSG00000105135	10.0	0.1	0.0	0.2	25.158812901722694	25.158812901722694	25.0	25.0	0	0	0
MS	Media	A1L170	A1L170	C1orf226	ENSG00000239887	10.0	0.0	0.0	0.0			5.0	5.0	0	0	0
MS	Media	A1L188	A1L188	NDUFAF8	ENSG00000224877	10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A1L390	A1L390	PLEKHG3	ENSG00000126822	10.0	0.0	0.0	0.0			7.0	7.0	0	0	0
MS	Media	A1L4H1	A1L4H1	SSC5D	ENSG00000179954	10.0	0.0	0.0	0.0			8.0	8.0	0	0	0
MS	Media	A1X283	A1X283	SH3PXD2B	ENSG00000174705	10.0	0.0	0.0	0.0			33.0	31.0	0	0	0
MS	Media	A1XBS5	A1XBS5	CIBAR1	ENSG00000188343	10.0	0.0	0.0	0.0			6.0	6.0	0	0	0
MS	Media	A1Z1Q3	A1Z1Q3	MACROD2	ENSG00000172264	10.0	0.0	0.0	0.0			6.0	6.0	0	0	0
MS	Media	A2A2Y4	A2A2Y4	FRMD3	ENSG00000172159	10.0	0.0	0.0	0.0			6.0	6.0	0	0	0
MS	Media	A2A3K4	A2A3K4	PTPDC1	ENSG00000158079	10.0	0.0	0.0	0.0			14.0	14.0	0	0	0
MS	Media	A2A3N6	A2A3N6	PIPSL		10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A2AJT9	A2AJT9	BCLAF3	ENSG00000173681	10.0	0.0	0.0	0.0			7.0	7.0	0	0	0
MS	Media	A2RRD8	A2RRD8	ZNF320	ENSG00000182986	10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
MS	Media	A2RRP1	A2RRP1	NBAS	ENSG00000151779	10.0	0.0	0.0	0.0			82.0	82.0	0	0	0
MS	Media	A2RTX5	A2RTX5	TARS3	ENSG00000185418	10.0	0.0	0.0	0.0			24.0	24.0	0	0	0
MS	Media	A2RU49	A2RU49	HYKK	ENSG00000188266	10.0	0.0	0.0	0.0			1.0	1.0	0	0	0
MS	Media	A2RU67	A2RU67	FAM234B	ENSG00000084444	10.0	0.0	0.0	0.0			10.0	10.0	0	0	0
MS	Media	A2RUC4	A2RUC4	TYW5	ENSG00000162971	10.0	0.1	0.0	0.2	20.34043257096081	20.34043257096081	8.0	8.0	0	0	0
MS	Media	A2VDF0	A2VDF0	FUOM	ENSG00000148803	10.0	0.0	0.0	0.0			2.0	2.0	0	0	0
