ensg	tissue	paxdb_ppm	ensp	symbol
ENSG00000205542	cerebral_cortex	21974.0	ENSP00000370010	TMSB4X
ENSG00000244734	cerebral_cortex	15002.0	ENSP00000494175	HBB
ENSG00000188536	cerebral_cortex	14797.0	ENSP00000251595	HBA2
ENSG00000206172	cerebral_cortex	14590.0	ENSP00000322421	HBA1
ENSG00000163631	cerebral_cortex	13456.0	ENSP00000295897	ALB
ENSG00000197694	cerebral_cortex	7459.0	ENSP00000487444	SPTAN1
ENSG00000115306	cerebral_cortex	6750.0	ENSP00000349259	SPTBN1
	cerebral_cortex	5896.0	ENSP00000233143	TMSB10
ENSG00000136854	cerebral_cortex	5835.0	ENSP00000362399	STXBP1
ENSG00000078018	cerebral_cortex	5297.0	ENSP00000353508	MAP2
ENSG00000223609	cerebral_cortex	5082.0	ENSP00000494708	HBD
ENSG00000131711	cerebral_cortex	4940.0	ENSP00000296755	MAP1B
ENSG00000145362	cerebral_cortex	4809.0	ENSP00000349588	ANK2
ENSG00000197971	cerebral_cortex	4783.0	ENSP00000380958	MBP
ENSG00000104722	cerebral_cortex	4730.0	ENSP00000221166	NEFM
ENSG00000111640	cerebral_cortex	4391.0	ENSP00000380070	GAPDH
ENSG00000197102	cerebral_cortex	4165.0	ENSP00000348965	DYNC1H1
ENSG00000173786	cerebral_cortex	4132.0	ENSP00000377470	CNP
ENSG00000178209	cerebral_cortex	4041.0	ENSP00000323856	PLEC
ENSG00000131095	cerebral_cortex	4001.0	ENSP00000253408	GFAP
ENSG00000008056	cerebral_cortex	3957.0	ENSP00000295987	SYN1
ENSG00000142168	cerebral_cortex	3891.0	ENSP00000270142	SOD1
ENSG00000166963	cerebral_cortex	3843.0	ENSP00000300231	MAP1A
ENSG00000092964	cerebral_cortex	3758.0	ENSP00000427985	DPYSL2
ENSG00000176788	cerebral_cortex	3519.0	ENSP00000319281	BASP1
ENSG00000171533	cerebral_cortex	3237.0	ENSP00000307093	MAP6
ENSG00000141367	cerebral_cortex	3111.0	ENSP00000479606	CLTC
ENSG00000067225	cerebral_cortex	2978.0	ENSP00000320171	PKM
ENSG00000074800	cerebral_cortex	2967.0	ENSP00000495530	ENO1
ENSG00000163399	cerebral_cortex	2795.0	ENSP00000445306	ATP1A1
ENSG00000172020	cerebral_cortex	2770.0	ENSP00000377372	GAP43
ENSG00000018236	cerebral_cortex	2732.0	ENSP00000447006	CNTN1
ENSG00000149294	cerebral_cortex	2727.0	ENSP00000480132	NCAM1
ENSG00000105409	cerebral_cortex	2617.0	ENSP00000444688	ATP1A3
ENSG00000164061	cerebral_cortex	2612.0	ENSP00000296452	BSN
ENSG00000082397	cerebral_cortex	2584.0	ENSP00000343158	EPB41L3
ENSG00000026025	cerebral_cortex	2505.0	ENSP00000446007	VIM
ENSG00000108953	cerebral_cortex	2473.0	ENSP00000264335	YWHAE
ENSG00000167815	cerebral_cortex	2472.0	ENSP00000301522	PRDX2
ENSG00000089220	cerebral_cortex	2415.0	ENSP00000261313	PEBP1
ENSG00000073969	cerebral_cortex	2355.0	ENSP00000381293	NSF
ENSG00000154277	cerebral_cortex	2326.0	ENSP00000284440	UCHL1
ENSG00000186868	cerebral_cortex	2304.0	ENSP00000340820	MAPT
ENSG00000018625	cerebral_cortex	2249.0	ENSP00000354490	ATP1A2
ENSG00000124507	cerebral_cortex	2242.0	ENSP00000484060	PACSIN1
ENSG00000166165	cerebral_cortex	2169.0	ENSP00000299198	CKB
ENSG00000156515	cerebral_cortex	2160.0	ENSP00000494664	HK1
ENSG00000106976	cerebral_cortex	2158.0	ENSP00000362014	DNM1
ENSG00000118137	cerebral_cortex	2143.0	ENSP00000236850	APOA1
ENSG00000099365	cerebral_cortex	2114.0	ENSP00000215095	STX1B
ENSG00000110436	cerebral_cortex	2086.0	ENSP00000278379	SLC1A2
ENSG00000197535	cerebral_cortex	2030.0	ENSP00000382177	MYO5A
ENSG00000102144	cerebral_cortex	2023.0	ENSP00000362413	PGK1
ENSG00000116288	cerebral_cortex	1941.0	ENSP00000340278	PARK7
ENSG00000196262	cerebral_cortex	1884.0	ENSP00000419425	PPIA
ENSG00000091513	cerebral_cortex	1833.0	ENSP00000385834	TF
ENSG00000152234	cerebral_cortex	1822.0	ENSP00000381736	ATP5F1A
ENSG00000148798	cerebral_cortex	1819.0	ENSP00000358865	INA
ENSG00000164924	cerebral_cortex	1800.0	ENSP00000379287	YWHAZ
ENSG00000111674	cerebral_cortex	1794.0	ENSP00000437402	ENO2
ENSG00000114573	cerebral_cortex	1768.0	ENSP00000273398	ATP6V1A
ENSG00000184009	cerebral_cortex	1756.0	ENSP00000458162	ACTG1
ENSG00000111669	cerebral_cortex	1734.0	ENSP00000229270	TPI1
ENSG00000155657	cerebral_cortex	1729.0	ENSP00000467141	TTN
ENSG00000091129	cerebral_cortex	1726.0	ENSP00000368314	NRCAM
ENSG00000075624	cerebral_cortex	1718.0	ENSP00000494750	ACTB
ENSG00000087258	cerebral_cortex	1716.0	ENSP00000262494	GNAO1
ENSG00000075340	cerebral_cortex	1714.0	ENSP00000264436	ADD2
ENSG00000109971	cerebral_cortex	1670.0	ENSP00000437125	HSPA8
ENSG00000132639	cerebral_cortex	1609.0	ENSP00000254976	SNAP25
ENSG00000116147	cerebral_cortex	1573.0	ENSP00000356646	TNR
ENSG00000173898	cerebral_cortex	1529.0	ENSP00000432568	SPTBN2
ENSG00000078053	cerebral_cortex	1518.0	ENSP00000348602	AMPH
ENSG00000197249	cerebral_cortex	1502.0	ENSP00000416066	SERPINA1
ENSG00000198910	cerebral_cortex	1496.0	ENSP00000359077	L1CAM
ENSG00000106278	cerebral_cortex	1455.0	ENSP00000377047	PTPRZ1
ENSG00000163531	cerebral_cortex	1440.0	ENSP00000344786	NFASC
ENSG00000100167	cerebral_cortex	1432.0	ENSP00000494051	SEPTIN3
ENSG00000117450	cerebral_cortex	1430.0	ENSP00000262746	PRDX1
ENSG00000163931	cerebral_cortex	1426.0	ENSP00000391481	TKT
ENSG00000165868	cerebral_cortex	1423.0	ENSP00000489674	HSPA12A
ENSG00000203879	cerebral_cortex	1376.0	ENSP00000394071	GDI1
ENSG00000072832	cerebral_cortex	1372.0	ENSP00000321606	CRMP1
ENSG00000088367	cerebral_cortex	1365.0	ENSP00000337168	EPB41L1
ENSG00000105220	cerebral_cortex	1343.0	ENSP00000405573	GPI
ENSG00000127603	cerebral_cortex	1341.0	ENSP00000354573	MACF1
ENSG00000171914	cerebral_cortex	1340.0	ENSP00000453508	TLN2
ENSG00000131016	cerebral_cortex	1332.0	ENSP00000384537	AKAP12
ENSG00000106089	cerebral_cortex	1300.0	ENSP00000222812	STX1A
ENSG00000153904	cerebral_cortex	1298.0	ENSP00000284031	DDAH1
ENSG00000133742	cerebral_cortex	1277.0	ENSP00000430656	CA1
ENSG00000144381	cerebral_cortex	1256.0	ENSP00000340019	HSPD1
ENSG00000100285	cerebral_cortex	1251.0	ENSP00000311997	NEFH
ENSG00000033627	cerebral_cortex	1233.0	ENSP00000264649	ATP6V0A1
ENSG00000109107	cerebral_cortex	1229.0	ENSP00000378731	ALDOC
ENSG00000143153	cerebral_cortex	1228.0	ENSP00000356790	ATP1B1
ENSG00000080824	cerebral_cortex	1224.0	ENSP00000335153	HSP90AA1
ENSG00000115310	cerebral_cortex	1210.0	ENSP00000337838	RTN4
ENSG00000149925	cerebral_cortex	1202.0	ENSP00000496166	ALDOA
ENSG00000125814	cerebral_cortex	1188.0	ENSP00000482826	NAPB
ENSG00000084207	cerebral_cortex	1181.0	ENSP00000381607	GSTP1
ENSG00000171368	cerebral_cortex	1177.0	ENSP00000353785	TPPP
ENSG00000139970	cerebral_cortex	1176.0	ENSP00000267484	RTN1
ENSG00000075618	cerebral_cortex	1170.0	ENSP00000371798	FSCN1
ENSG00000157087	cerebral_cortex	1164.0	ENSP00000353414	ATP2B2
ENSG00000164830	cerebral_cortex	1146.0	ENSP00000405424	OXR1
ENSG00000172757	cerebral_cortex	1146.0	ENSP00000432660	CFL1
ENSG00000124942	cerebral_cortex	1142.0	ENSP00000367263	AHNAK
ENSG00000117632	cerebral_cortex	1141.0	ENSP00000410452	STMN1
ENSG00000131100	cerebral_cortex	1138.0	ENSP00000253413	ATP6V1E1
ENSG00000099864	cerebral_cortex	1138.0	ENSP00000341911	PALM
ENSG00000143933	cerebral_cortex	1137.0	ENSP00000499797	CALM2
ENSG00000151914	cerebral_cortex	1120.0	ENSP00000307959	DST
ENSG00000128245	cerebral_cortex	1119.0	ENSP00000248975	YWHAH
ENSG00000146701	cerebral_cortex	1114.0	ENSP00000327070	MDH2
ENSG00000213585	cerebral_cortex	1113.0	ENSP00000378487	VDAC1
ENSG00000168439	cerebral_cortex	1112.0	ENSP00000351646	STIP1
ENSG00000117592	cerebral_cortex	1109.0	ENSP00000342026	PRDX6
ENSG00000197043	cerebral_cortex	1105.0	ENSP00000346550	ANXA6
ENSG00000148180	cerebral_cortex	1104.0	ENSP00000362924	GSN
ENSG00000070808	cerebral_cortex	1091.0	ENSP00000500386	CAMK2A
ENSG00000198836	cerebral_cortex	1091.0	ENSP00000354681	OPA1
ENSG00000110955	cerebral_cortex	1086.0	ENSP00000262030	ATP5F1B
ENSG00000119125	cerebral_cortex	1081.0	ENSP00000238018	GDA
ENSG00000067715	cerebral_cortex	1071.0	ENSP00000261205	SYT1
ENSG00000198053	cerebral_cortex	1071.0	ENSP00000478763	SIRPA
ENSG00000149591	cerebral_cortex	1068.0	ENSP00000376678	TAGLN
ENSG00000100412	cerebral_cortex	1068.0	ENSP00000216254	ACO2
ENSG00000090861	cerebral_cortex	1056.0	ENSP00000261772	AARS1
ENSG00000089169	cerebral_cortex	1054.0	ENSP00000374036	RPH3A
ENSG00000156508	cerebral_cortex	1048.0	ENSP00000339063	EEF1A1
ENSG00000161203	cerebral_cortex	1047.0	ENSP00000403362	AP2M1
ENSG00000159082	cerebral_cortex	1045.0	ENSP00000409667	SYNJ1
ENSG00000182621	cerebral_cortex	1040.0	ENSP00000338185	PLCB1
ENSG00000118271	cerebral_cortex	1035.0	ENSP00000237014	TTR
ENSG00000196961	cerebral_cortex	1027.0	ENSP00000351926	AP2A1
ENSG00000171314	cerebral_cortex	1019.0	ENSP00000359991	PGAM1
ENSG00000183044	cerebral_cortex	1004.0	ENSP00000379845	ABAT
	cerebral_cortex	998.0	ENSP00000384719	VSNL1
ENSG00000127824	cerebral_cortex	996.0	ENSP00000248437	TUBA4A
ENSG00000100994	cerebral_cortex	996.0	ENSP00000216962	PYGB
ENSG00000136717	cerebral_cortex	994.0	ENSP00000316779	BIN1
ENSG00000147416	cerebral_cortex	989.0	ENSP00000276390	ATP6V1B2
ENSG00000156011	cerebral_cortex	988.0	ENSP00000324127	PSD3
ENSG00000087470	cerebral_cortex	982.0	ENSP00000449089	DNM1L
ENSG00000090013	cerebral_cortex	982.0	ENSP00000263368	BLVRB
