ensg	paxdb_ppm_global	ensp	symbol
ENSG00000205542	82964.0	ENSP00000370010	TMSB4X
ENSG00000158874	31361.0	ENSP00000356969	APOA2
ENSG00000138207	24443.0	ENSP00000360522	RBP4
ENSG00000229314	22835.0	ENSP00000259396	ORM1
ENSG00000118137	20723.0	ENSP00000236850	APOA1
ENSG00000163631	19929.0	ENSP00000295897	ALB
ENSG00000118271	19096.0	ENSP00000237014	TTR
ENSG00000234906	17564.0	ENSP00000466775	APOC2
ENSG00000130208	16749.0	ENSP00000465356	APOC1
ENSG00000110169	15511.0	ENSP00000265983	HPX
ENSG00000110245	11298.0	ENSP00000227667	APOC3
ENSG00000145192	11180.0	ENSP00000273784	AHSG
ENSG00000111640	9978.0	ENSP00000380070	GAPDH
ENSG00000228278	9784.0	ENSP00000394936	ORM2
ENSG00000197249	7748.0	ENSP00000416066	SERPINA1
ENSG00000257017	7425.0	ENSP00000348170	HP
ENSG00000145321	7169.0	ENSP00000421725	GC
ENSG00000075624	6893.0	ENSP00000494750	ACTB
ENSG00000184009	6850.0	ENSP00000458162	ACTG1
ENSG00000117601	6838.0	ENSP00000356671	SERPINC1
ENSG00000244734	6494.0	ENSP00000494175	HBB
ENSG00000091583	6122.0	ENSP00000205948	APOH
ENSG00000125730	5811.0	ENSP00000245907	C3
ENSG00000171564	5411.0	ENSP00000306099	FGB
ENSG00000163736	5183.0	ENSP00000296028	PPBP
ENSG00000000971	5040.0	ENSP00000356399	CFH
ENSG00000189058	5010.0	ENSP00000345179	APOD
ENSG00000188536	4979.0	ENSP00000251595	HBA2
ENSG00000206172	4979.0	ENSP00000322421	HBA1
ENSG00000108518	4950.0	ENSP00000225655	PFN1
ENSG00000091513	4792.0	ENSP00000385834	TF
ENSG00000026025	4542.0	ENSP00000446007	VIM
ENSG00000196136	4275.0	ENSP00000450540	SERPINA3
ENSG00000121410	4203.0	ENSP00000263100	A1BG
ENSG00000113889	4187.0	ENSP00000493985	KNG1
ENSG00000180210	4017.0	ENSP00000308541	F2
ENSG00000074800	3890.0	ENSP00000495530	ENO1
ENSG00000167768	3624.0	ENSP00000252244	KRT1
ENSG00000196262	3530.0	ENSP00000419425	PPIA
ENSG00000175899	3520.0	ENSP00000323929	A2M
ENSG00000122194	3516.0	ENSP00000308938	PLG
ENSG00000123838	3449.0	ENSP00000356037	C4BPA
ENSG00000156508	3342.0	ENSP00000339063	EEF1A1
ENSG00000148180	3250.0	ENSP00000362924	GSN
ENSG00000067225	3152.0	ENSP00000320171	PKM
ENSG00000171557	3105.0	ENSP00000336829	FGG
ENSG00000171560	3068.0	ENSP00000498441	FGA
ENSG00000047457	3067.0	ENSP00000264613	CP
	2966.0	ENSP00000431254	IGLL5
ENSG00000113905	2935.0	ENSP00000232003	HRG
ENSG00000109072	2724.0	ENSP00000226218	VTN
ENSG00000106927	2686.0	ENSP00000265132	AMBP
ENSG00000110244	2644.0	ENSP00000350425	APOA4
ENSG00000171403	2639.0	ENSP00000246662	KRT9
ENSG00000055955	2626.0	ENSP00000266041	ITIH4
ENSG00000120885	2454.0	ENSP00000315130	CLU
ENSG00000163737	2377.0	ENSP00000296029	PF4
ENSG00000244414	2253.0	ENSP00000314299	CFHR1
ENSG00000172757	2243.0	ENSP00000432660	CFL1
ENSG00000144381	2191.0	ENSP00000340019	HSPD1
ENSG00000160862	2177.0	ENSP00000292401	AZGP1
ENSG00000223609	2173.0	ENSP00000494708	HBD
ENSG00000163815	2146.0	ENSP00000296130	CLEC3B
ENSG00000017427	2104.0	ENSP00000376637	IGF1
ENSG00000163220	2091.0	ENSP00000357727	S100A9
ENSG00000109971	2076.0	ENSP00000437125	HSPA8
ENSG00000196230	2063.0	ENSP00000339001	TUBB
ENSG00000167460	2030.0	ENSP00000494125	TPM4
ENSG00000164924	2017.0	ENSP00000379287	YWHAZ
ENSG00000108953	2005.0	ENSP00000264335	YWHAE
