symbol	ensg	mapped	log_ppm
TMSB4X	ENSG00000205542	True	4.91888968282227
APOA2	ENSG00000158874	True	4.496389902467685
RBP4	ENSG00000138207	True	4.388154507768882
ORM1	ENSG00000229314	True	4.3586010159430195
APOA1	ENSG00000118137	True	4.316452626996655
ALB	ENSG00000163631	True	4.299485507161212
TTR	ENSG00000118271	True	4.280942405998698
APOC2	ENSG00000234906	True	4.24462342843235
APOC1	ENSG00000130208	True	4.223988882570092
HPX	ENSG00000110169	True	4.1906397978446845
APOC3	ENSG00000110245	True	4.053001570400308
AHSG	ENSG00000145192	True	4.048441803550404
GAPDH	ENSG00000111640	True	3.9990434996031627
ORM2	ENSG00000228278	True	3.9905164440282292
SERPINA1	ENSG00000197249	True	3.889189612047073
HP	ENSG00000257017	True	3.8706964579892498
GC	ENSG00000145321	True	3.855458580386036
ACTB	ENSG00000075624	True	3.8384082784941866
ACTG1	ENSG00000184009	True	3.8356905714924254
SERPINC1	ENSG00000117601	True	3.834929096460576
HBB	ENSG00000244734	True	3.8125122842899826
APOH	ENSG00000091583	True	3.7868933252613157
C3	ENSG00000125730	True	3.764250875438773
FGB	ENSG00000171564	True	3.733277533932582
PPBP	ENSG00000163736	True	3.7145812088395314
CFH	ENSG00000000971	True	3.7024305364455254
APOD	ENSG00000189058	True	3.699837725867246
HBA2	ENSG00000188536	True	3.6971421262754594
HBA1	ENSG00000206172	True	3.6971421262754594
PFN1	ENSG00000108518	True	3.694605198933569
TF	ENSG00000091513	True	3.680516809381255
VIM	ENSG00000026025	True	3.6572471298837166
SERPINA3	ENSG00000196136	True	3.6309361190641916
A1BG	ENSG00000121410	True	3.623559390005437
KNG1	ENSG00000113889	True	3.6219029608912305
F2	ENSG00000180210	True	3.6039018317316716
ENO1	ENSG00000074800	True	3.5899496013257077
KRT1	ENSG00000167768	True	3.5591881890047756
PPIA	ENSG00000196262	True	3.5477747053878224
A2M	ENSG00000175899	True	3.546542663478131
PLG	ENSG00000122194	True	3.5460488664017342
C4BPA	ENSG00000123838	True	3.5376931943673906
EEF1A1	ENSG00000156508	True	3.5240064455573727
GSN	ENSG00000148180	True	3.5118833609788744
PKM	ENSG00000067225	True	3.498586208817518
FGG	ENSG00000171557	True	3.492061604512599
FGA	ENSG00000171560	True	3.4868553552769432
CP	ENSG00000047457	True	3.4867137759824853
IGLL5		False	3.472171146692363
HRG	ENSG00000113905	True	3.467608105583633
VTN	ENSG00000109072	True	3.4352071032407476
AMBP	ENSG00000106927	True	3.4291060083326967
APOA4	ENSG00000110244	True	3.4222614508136027
KRT9	ENSG00000171403	True	3.4214393902200495
ITIH4	ENSG00000055955	True	3.4192947217534604
CLU	ENSG00000120885	True	3.3898745583909853
PF4	ENSG00000163737	True	3.3760291817281805
CFHR1	ENSG00000244414	True	3.3527611917238307
CFL1	ENSG00000172757	True	3.350829273582968
HSPD1	ENSG00000144381	True	3.3406423775607053
AZGP1	ENSG00000160862	True	3.3378584290410944
HBD	ENSG00000223609	True	3.3370597263205246
CLEC3B	ENSG00000163815	True	3.3316297176299323
IGF1	ENSG00000017427	True	3.3230457354817013
S100A9	ENSG00000163220	True	3.3203540328176717
HSPA8	ENSG00000109971	True	3.31722734917642
TUBB	ENSG00000196230	True	3.3144992279731516
TPM4	ENSG00000167460	True	3.307496037913213
YWHAZ	ENSG00000164924	True	3.3047058982127653
YWHAE	ENSG00000108953	True	3.302114376956201
CFHR2	ENSG00000080910	True	3.298197867109815
TAGLN2	ENSG00000158710	True	3.2830749747354715
MYH9	ENSG00000100345	True	3.2405492482826
KRT10	ENSG00000186395	True	3.239549720840473
NPM1	ENSG00000181163	True	3.232487866352986
SAA1		False	3.2237554536572413
SH3BGRL3	ENSG00000142669	True	3.203304916138483
HPR	ENSG00000261701	True	3.189770956346874
TLN1	ENSG00000137076	True	3.1792644643390253
MYL6	ENSG00000092841	True	3.1763806922432702
FLNA	ENSG00000196924	True	3.17376882313665
CFB	ENSG00000243649	True	3.17260293120986
PTGDS	ENSG00000107317	True	3.1711411510283822
APOE	ENSG00000130203	True	3.1687920203141817
LDHA	ENSG00000134333	True	3.1598678470925665
UBA52	ENSG00000221983	True	3.158060793936605
HSP90AB1	ENSG00000096384	True	3.150756439860309
PGK1	ENSG00000102144	True	3.1439511164239633
B2M	ENSG00000166710	True	3.1436392352745433
SERPING1	ENSG00000149131	True	3.1405080430381798
CALR	ENSG00000179218	True	3.133858125203335
ANXA2	ENSG00000182718	True	3.125806458139527
ATP5F1B	ENSG00000110955	True	3.1166077439882485
ATP5F1A	ENSG00000152234	True	3.095518042323151
TUBB1	ENSG00000101162	True	3.0884904701823963
GSTP1	ENSG00000084207	True	3.0874264570362855
TPM1	ENSG00000140416	True	3.0867156639448825
TUBB4B	ENSG00000188229	True	3.0802656273398448
C4B	ENSG00000224389	True	3.0791812460476247
SERPINF2	ENSG00000167711	True	3.0784568180532927
C4A	ENSG00000244731	True	3.0780941504064105
VCL	ENSG00000035403	True	3.074084689028244
C1QB	ENSG00000173369	True	3.072249897613515
APCS	ENSG00000132703	True	3.0678145111618402
TPI1	ENSG00000111669	True	3.0546130545568877
PRDX1	ENSG00000117450	True	3.048053173115609
THBS1	ENSG00000137801	True	3.0453229787866576
H0YJW9_HUMAN		False	3.0429690733931802
S100A8	ENSG00000143546	True	3.0382226383687185
RPS7	ENSG00000171863	True	3.0342272607705505
APOC4	ENSG00000267467	True	3.024074987307426
MDH2	ENSG00000146701	True	3.015778756389041
TUBA1B	ENSG00000123416	True	3.00987563371216
FN1	ENSG00000115414	True	3.0043213737826426
SAA2		False	3.0025979807199086
FERMT3		False	2.998695158311656
HSP90AA1	ENSG00000080824	True	2.9947569445876283
RPS27A	ENSG00000143947	True	2.9947569445876283
POTEE	ENSG00000188219	True	2.993876914941211
H2BC12	ENSG00000197903	True	2.989894563718773
H2BC4	ENSG00000180596	True	2.989894563718773
H2BC7	ENSG00000277224	True	2.989894563718773
H2BC10	ENSG00000278588	True	2.989894563718773
H2BC8	ENSG00000273802	True	2.989894563718773
H2BC6	ENSG00000274290	True	2.989894563718773
H2BC9	ENSG00000275713	True	2.989894563718773
H2BC5	ENSG00000158373	True	2.9894498176666917
H2BC15	ENSG00000233822	True	2.9894498176666917
H2BS1		False	2.9894498176666917
LOC102724334		False	2.9894498176666917
H2BC14	ENSG00000273703	True	2.989004615698537
H2BC13	ENSG00000185130	True	2.989004615698537
LUM	ENSG00000139329	True	2.9885589568786157
H2BC11	ENSG00000124635	True	2.9876662649262746
H2BC21	ENSG00000184678	True	2.9872192299080047
H2BC17	ENSG00000274641	True	2.9872192299080047
H2BC3	ENSG00000276410	True	2.9867717342662448
TUBB2B	ENSG00000137285	True	2.9854264740830017
H2BU1		False	2.9845273133437926
B4E1Z4_HUMAN		False	2.9836262871245345
RAP1B		False	2.983175072037813
SOD1	ENSG00000142168	True	2.9804578922761
TUBB2A	ENSG00000137267	True	2.979092900638326
HSPA5	ENSG00000044574	True	2.977266212427293
H2BC18	ENSG00000203814	True	2.976808337338066
ITGA2B	ENSG00000005961	True	2.971739590887778
TUBA4A	ENSG00000127824	True	2.971275848738105
TPM3	ENSG00000143549	True	2.9708116108725178
ANXA1	ENSG00000135046	True	2.9698816437465
AFM	ENSG00000079557	True	2.965201701025912
RPLP1		False	2.965201701025912
TUBB4A	ENSG00000104833	True	2.965201701025912
PGLYRP2	ENSG00000161031	True	2.965201701025912
MYL12B	ENSG00000118680	True	2.960470777534299
HMGB1	ENSG00000189403	True	2.959994838328416
F12	ENSG00000131187	True	2.9595183769729982
JCHAIN	ENSG00000132465	True	2.9595183769729982
CORO1A	ENSG00000102879	True	2.9585638832219674
ALDOA	ENSG00000149925	True	2.9566485792052033
CAP1	ENSG00000131236	True	2.9552065375419416
C1R	ENSG00000159403	True	2.9552065375419416
H2AC21	ENSG00000184270	True	2.951337518795918
SAA4	ENSG00000148965	True	2.951337518795918
TUBA1A	ENSG00000167552	True	2.949390006644913
HNRNPA2B1	ENSG00000122566	True	2.9449759084120477
PF4V1	ENSG00000109272	True	2.9439888750737717
PRDX2	ENSG00000167815	True	2.9425041061680806
MYL12A	ENSG00000101608	True	2.942008053022313
GPX3	ENSG00000211445	True	2.9334872878487053
LYZ	ENSG00000090382	True	2.932980821923198
PON1	ENSG00000005421	True	2.930949031167523
H2AX	ENSG00000188486	True	2.929418925714293
H2AC1	ENSG00000164508	True	2.9258275746247424
NME2	ENSG00000243678	True	2.9258275746247424
AGT	ENSG00000135744	True	2.921686475483602
H4C6	ENSG00000274618	True	2.9190780923760737
H4C11	ENSG00000197238	True	2.9190780923760737
H4C2	ENSG00000278705	True	2.9190780923760737
H4C3	ENSG00000197061	True	2.9190780923760737
H4-16		False	2.9190780923760737
H4C15	ENSG00000270276	True	2.9190780923760737
H4C14	ENSG00000270882	True	2.9190780923760737
H4C1	ENSG00000278637	True	2.9190780923760737
H4C4	ENSG00000277157	True	2.9190780923760737
H4C12	ENSG00000273542	True	2.9190780923760737
H4C13	ENSG00000275126	True	2.9190780923760737
H4C9	ENSG00000276180	True	2.9190780923760737
H4C5	ENSG00000276966	True	2.9190780923760737
H4C8	ENSG00000158406	True	2.9190780923760737
ACTN1	ENSG00000072110	True	2.912753303671323
SERPINF1	ENSG00000132386	True	2.905256048748451
C1QBP	ENSG00000108561	True	2.905256048748451
PLEK	ENSG00000115956	True	2.8998205024270964
CST3	ENSG00000101439	True	2.8976270912904414
IGFBP3		False	2.8959747323590648
ACTC1	ENSG00000159251	True	2.895422546039408
S100A11	ENSG00000163191	True	2.88930170250631
ACTG2	ENSG00000163017	True	2.885361220031512
ACTA2	ENSG00000107796	True	2.8825245379548803
ARHGDIB	ENSG00000111348	True	2.8819549713396007
TUBA1C	ENSG00000167553	True	2.8808135922807914
EEF2	ENSG00000167658	True	2.88024177589548
RPLP2	ENSG00000177600	True	2.8796692056320534
MSN	ENSG00000147065	True	2.8767949762007006
RANBP1	ENSG00000099901	True	2.8767949762007006
H3-3B	ENSG00000132475	True	2.876217840591642
H3-3A	ENSG00000163041	True	2.876217840591642
C1S	ENSG00000182326	True	2.8721562727482928
HNRNPK	ENSG00000165119	True	2.8715729355458786
ILK	ENSG00000166333	True	2.870403905279027
BANF1	ENSG00000175334	True	2.863322860120456
PRDX6	ENSG00000117592	True	2.863322860120456
APOM	ENSG00000204444	True	2.8627275283179747
CAVIN2	ENSG00000168497	True	2.859138297294531
SNRPD1	ENSG00000167088	True	2.8573324964312685
SAA2-SAA4	ENSG00000255071	True	2.8536982117761744
CD5L	ENSG00000073754	True	2.8506462351830666
ANXA5	ENSG00000164111	True	2.846337112129805
CLTA	ENSG00000122705	True	2.845098040014257
IGF2	ENSG00000167244	True	2.843855422623161
ACTA1	ENSG00000143632	True	2.8432327780980096
C9	ENSG00000113600	True	2.8419848045901137
ITIH2	ENSG00000151655	True	2.8394780473741985
F13A1	ENSG00000124491	True	2.838849090737255
PDIA3	ENSG00000167004	True	2.838849090737255
PDLIM1	ENSG00000107438	True	2.833784374656479
ENSP00000493607		False	2.832508912706236
HBG2	ENSG00000196565	True	2.8318697742805017
SNRPD3	ENSG00000100028	True	2.82865989653532
COTL1	ENSG00000103187	True	2.8273692730538253
