tissue	n_input_datasets	jiang_weight	top_dataset	top_weight	n_ihc_present	auc_tissue_ppm	auc_global_ppm	cov_tissue_ppm	cov_global_ppm
cerebral_cortex	3	0.699	PXD016999_Jiang_Cell_2020_Brain_Cortex-ppm	0.699	10075	0.9237728200195954	0.8645179440364782	0.7770719602977667	0.9822332506203474
colon	8	0.039	Adult_Colon_Kim_2014_SEQUEST	0.598	10332	0.7558811142889995	0.8449362414718498	0.8270421989934185	0.9815137437088657
heart	8	0.0	Adult_Heart_Kim_2014_SEQUEST	0.619	7957	0.7157378316377419	0.8384244196758626	0.8176448410204851	0.9820284026643207
liver	13	0.018	Adult_Liver_Kim_2014_SEQUEST	0.223	7834	0.7904874756446085	0.8566748323425587	0.9152412560633137	0.9811079908092928
lung	8	0.017	Adult_Lung_Kim_2014_SEQUEST	0.375	9168	0.7751858255344315	0.8564769582782418	0.8480584642233857	0.9818935427574171
pancreas	5	0.039	Adult_Pancreas_Kim_2014_SEQUEST	0.438	9250	0.7742731155081221	0.8559899647480501	0.8163243243243243	0.9811891891891892
skin	13	0.026999999999999996	PXD027093_stratum_corneum	0.287	9673	0.7657176094788664	0.8424473992817908	0.8316964747234571	0.9819084048382094
spleen	4	0.353	PXD016999_Jiang_Cell_2020_Spleen-ppm	0.353	7135	0.8022982989388365	0.8434868556419567	0.7873861247372109	0.9829011913104415
stomach	4	0.303	PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Stomach	0.379	9925	0.8377628710491132	0.8510126636426606	0.7981863979848867	0.9812594458438287
testis	8	0.136	PXD010246_testis	0.391	11048	0.8787668106453634	0.8638160572371099	0.8889391745112237	0.9803584359160029
