ensg	ms_det	ms_abund	ms_present	ms_det_TDR1	ms_det_TDR4	ms_present_TDR1	ms_present_TDR4	ms_abund_TDR1	ms_abund_TDR4	ms_n_proteotypic	ms_n_sequences	soma_det	soma_abund	soma_present	soma_det_TDR1	soma_det_TDR4	soma_present_TDR1	soma_present_TDR4	soma_abund_TDR1	soma_abund_TDR4	olink_det	olink_abund	olink_present	olink_det_TDR1	olink_det_TDR4	olink_present_TDR1	olink_present_TDR4	olink_abund_TDR1	olink_abund_TDR4	arm	p_detect_intrinsic	p_detect_full	top_dark_reason	uniprot	tryptic_per_kda	n_tryptic_7_30	n_tm	is_secreted	has_signal	is_membrane	disorder_fraction_proxy	pep_n_unique	pep_frac_shared	pep_max_shared_genes	pep_n_clean	aff_present	aff_abund_z
ENSG00000000003	1.0	22.733573408387198	1	1.0	1.0	1	1	22.95549793496819	22.511648881806188	5.0	5.0	1.0	10.540364595651758	1	1.0	1.0	1	1	10.51231236651205	10.568416824791466	0.0		0	0.0	0.0	0	0			Organoid	0.3938425769746036	0.815324600391391	size	O43657	0.4354	12.0	4.0	0.0	0.0	1.0	0.167420814479638	12.0	0.0	0.0	4.0	1	0.08260686983274886
ENSG00000000005	0.0		0	0.0	0.0	0	0					1.0	12.1696242915517	1	1.0	1.0	1	1	12.10810357646779	12.231145006635607	0.0		0	0.0	0.0	0	0			Organoid				Q9H2S6	0.3232	12.0	1.0	0.0	0.0	0.0	0.5255972696245734	12.0	0.0	0.0	3.0	1	0.7088077827990175
ENSG00000000419	1.0	24.962989160617774	1	1.0	1.0	1	1	25.065596907670656	24.860381413564888	16.0	16.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.9091372404685356	0.9907183038686078	size	O60762	0.4724	14.0	0.0	0.0	0.0	0.0	0.3617021276595745	14.0	0.0	0.0	10.0	0	
ENSG00000000457	1.0	18.08243915593212	1	1.0	1.0	1	1	18.26917664651778	17.89570166534646	6.0	6.0	1.0	10.98600578313864	1	1.0	1.0	1	1	10.978243457738854	10.993768108538427	0.0		0	0.0	0.0	0	0			Organoid	0.6420930172803418	0.9327078332884532	composition	Q8IZE3	0.3621	30.0	0.0	0.0	0.0	0.0	0.2524407252440725	30.0	0.0	0.0	15.0	1	0.25388767863316253
ENSG00000000460	0.5	15.671664797707516	0	0.6	0.4	0	0	16.18380664062516	14.90345203333105	1.0	1.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid																0	
ENSG00000000938	0.0		0	0.0	0.0	0	0					1.0	7.7858019325448975	1	1.0	1.0	1	1	7.804617846029997	7.7669860190597975	0.0	-1.761068602204109	0	0.0	0.0	0	0	-1.9653434281748503	-1.5567937762333688	Organoid	0.933261183870789	0.9743514094453184	size	P09769	0.4035	24.0	0.0	0.0	0.0	1.0	0.2321428571428571	22.0	0.0833333333333333	27.0	12.0	1	-0.8132752551754379
ENSG00000000971	0.0		0	0.0	0.0	0	0					1.0	10.146477248499462	1	1.0	1.0	1	1	10.174561948587328	10.118392548411595	1.0	-6.456237680791635	1	1.0	1.0	1	1	-6.175166507685728	-6.7373088538975425	Organoid	0.8857252488267652	0.9858333511535906	proteotypicity	P08603	0.4314	60.0	0.0	1.0	1.0	1.0	0.1631623212783852	52.0	0.1333333333333333	2.0	10.0	1	-0.9637029776270336
ENSG00000001036	1.0	23.49433048328736	1	1.0	1.0	1	1	23.399224820445585	23.589436146129124	16.0	16.0	0.0		0	0.0	0.0	0	0			0.0		0	0.0	0.0	0	0			Organoid	0.9368280563222284	0.9613749261883984	localization	Q9BTY2	0.4254	23.0	0.0	1.0	1.0	0.0	0.1349397590361445	23.0	0.0	0.0	18.0	0	
ENSG00000001084	1.0	22.912080200402933	1	1.0	1.0	1	1	22.830110677992902	22.99404972281296	24.0	24.0	1.0	11.251899910541518	1	1.0	1.0	1	1	11.210946161012979	11.292853660070055	0.0		0	0.0	0.0	0	0			Organoid	0.942438501708928	0.9747038671452122	topology	P48506	0.4123	30.0	0.0	0.0	0.0	0.0	0.3752039151712887	29.0	0.0333333333333333	1.0	13.0	1	0.35608326215557984
ENSG00000001167	1.0	17.195860403111674	1	1.0	1.0	1	1	17.20126102657697	17.190459779646382	3.0	3.0	1.0	10.00218696285308	1	1.0	1.0	1	1	9.992033884855777	10.012340040850384	1.0	6.509883446132973	1	1.0	1.0	1	1	6.53393826416129	6.485828628104656	Organoid	0.8067761493815128	0.7879830941071381	structure_af	P23511	0.0542	2.0	0.0	0.0	0.0	0.0	0.2167182662538699	2.0	0.0	0.0	0.0	1	0.676807046364636
