ensg	length	n_trypsin	n_lysc	n_gluc	n_gluc_de	n_chymotrypsin	n_aspn
ENSG00000155657	34350	1771	1409	1586	2050	1441	1018
ENSG00000181143	14507	428	146	450	727	264	220
ENSG00000131018	8797	484	356	482	523	247	256
ENSG00000183091	8525	563	507	280	557	408	399
ENSG00000154358	7968	347	121	372	446	263	179
ENSG00000151914	7570	425	333	400	447	211	253
ENSG00000127603	7388	421	296	389	452	189	210
ENSG00000054654	6885	390	310	377	409	203	193
ENSG00000164199	6306	214	72	217	329	283	178
ENSG00000124942	5890	377	359	189	368	71	322
ENSG00000185567	5795	302	264	230	350	32	306
ENSG00000117983	5762	148	30	91	171	121	84
ENSG00000215182	5654	183	56	101	180	107	77
ENSG00000143341	5635	255	128	170	294	178	148
ENSG00000112159	5596	279	149	206	287	199	142
ENSG00000167548	5537	171	81	204	244	104	79
ENSG00000205277	5478	93	20	225	295	73	32
ENSG00000145113	5412	70	10	46	252	78	188
ENSG00000275395	5405	163	47	100	266	199	138
ENSG00000198788	5289	83	48	70	126	87	70
ENSG00000162825	5207	230	103	296	298	108	254
ENSG00000173821	5207	275	157	180	286	214	152
ENSG00000127481	5183	231	126	164	243	160	118
ENSG00000186472	5142	215	145	177	238	109	124
ENSG00000157423	5121	207	155	200	261	217	104
ENSG00000261150	5088	267	60	228	335	120	152
ENSG00000148357	5079	216	42	172	260	155	123
ENSG00000196218	5038	242	87	182	255	190	136
ENSG00000138688	5005	220	126	147	257	156	134
ENSG00000196159	4981	183	61	128	281	206	195
ENSG00000198626	4967	266	137	183	262	200	153
ENSG00000103657	4861	204	93	141	241	147	144
ENSG00000115760	4857	186	93	129	215	119	109
ENSG00000128731	4834	222	102	142	253	133	148
ENSG00000179532	4753	195	71	159	210	152	63
ENSG00000159433	4700	223	99	183	235	113	117
ENSG00000178209	4684	291	120	259	299	119	98
ENSG00000081479	4655	204	66	137	243	213	180
ENSG00000197102	4646	255	160	207	262	202	140
ENSG00000039139	4624	241	159	185	259	207	146
ENSG00000168702	4599	212	107	140	242	173	192
ENSG00000083857	4588	176	97	162	256	203	183
ENSG00000151835	4579	252	187	163	264	225	150
ENSG00000084674	4563	250	198	177	278	225	130
ENSG00000165323	4557	175	87	147	255	201	195
ENSG00000123384	4544	222	74	128	226	156	174
ENSG00000105877	4516	238	149	181	243	225	125
ENSG00000169876	4493	32	12	230	319	25	31
ENSG00000124721	4490	243	171	186	269	203	132
ENSG00000007174	4486	239	141	192	252	202	126
ENSG00000197653	4471	248	149	209	257	206	122
ENSG00000187775	4462	253	166	196	264	206	139
ENSG00000183914	4427	228	131	174	247	204	147
ENSG00000142798	4391	173	16	124	196	131	73
ENSG00000048707	4388	223	121	154	238	174	120
ENSG00000151150	4377	220	166	178	217	107	123
ENSG00000086758	4374	180	77	146	197	101	121
ENSG00000086570	4349	180	76	163	254	172	164
ENSG00000187240	4307	233	152	175	242	192	140
ENSG00000008710	4303	144	13	113	196	159	64
ENSG00000114841	4265	222	134	169	238	198	125
ENSG00000205038	4243	156	71	104	213	194	103
ENSG00000116127	4168	207	121	182	239	100	121
ENSG00000115423	4158	225	147	176	229	193	127
ENSG00000253729	4128	224	131	156	241	178	119
ENSG00000170927	4074	148	43	98	184	146	73
ENSG00000164309	4069	196	154	234	235	93	108
ENSG00000143631	4061	211	23	146	234	28	148
ENSG00000118997	4024	218	147	155	228	190	132
ENSG00000138759	4008	149	62	136	224	154	140
ENSG00000173064	3996	176	75	128	204	114	89
ENSG00000118058	3969	153	102	116	167	77	88
ENSG00000145362	3957	203	149	175	204	73	127
ENSG00000164061	3926	173	60	126	166	76	67
ENSG00000127914	3907	237	174	208	192	77	86
ENSG00000271383	3843	154	83	218	220	86	178
ENSG00000271425	3795	156	88	211	214	89	171
ENSG00000129003	3753	191	144	136	204	147	115
ENSG00000164796	3707	125	42	83	177	175	85
ENSG00000140836	3703	139	108	95	141	84	76
ENSG00000130702	3695	160	17	97	192	104	95
ENSG00000198947	3685	196	143	195	228	99	113
ENSG00000137877	3674	201	55	215	229	91	61
ENSG00000065526	3664	163	108	147	174	66	92
ENSG00000157106	3661	172	103	146	206	125	82
ENSG00000107611	3623	114	31	87	176	209	92
ENSG00000165124	3571	144	72	134	193	172	88
ENSG00000091656	3567	149	127	99	152	89	93
ENSG00000115464	3546	182	91	130	177	151	86
ENSG00000091536	3530	164	61	112	163	128	63
ENSG00000163625	3526	153	78	112	174	143	77
ENSG00000185842	3507	168	129	111	175	145	94
ENSG00000152818	3433	174	121	171	203	90	133
ENSG00000198198	3432	130	30	101	160	111	77
ENSG00000139618	3418	180	169	157	190	121	103
ENSG00000038427	3396	118	60	166	186	117	109
ENSG00000163092	3374	190	160	196	195	91	105
ENSG00000197410	3371	128	52	132	193	117	138
ENSG00000107736	3354	112	24	100	191	129	146
ENSG00000160299	3336	188	95	185	188	35	87
ENSG00000053747	3333	163	73	104	169	115	97
ENSG00000169894	3323	34	11	68	102	69	19
ENSG00000008300	3312	141	10	73	143	100	96
ENSG00000166341	3298	114	4	85	182	86	124
ENSG00000072195	3267	137	29	132	180	87	63
ENSG00000173230	3259	187	142	206	187	39	86
ENSG00000144406	3258	142	64	119	159	108	71
ENSG00000148773	3256	180	196	154	174	28	94
ENSG00000080603	3230	86	41	86	103	42	40
ENSG00000153201	3224	174	153	129	169	139	87
ENSG00000197603	3197	141	95	112	142	121	58
ENSG00000165164	3187	147	110	95	151	139	59
ENSG00000128815	3184	138	59	100	160	128	73
ENSG00000163359	3177	162	75	101	166	102	95
ENSG00000197969	3174	141	117	106	170	149	95
ENSG00000150893	3169	130	42	113	172	137	116
ENSG00000183495	3159	107	58	76	90	67	37
ENSG00000197386	3142	142	57	93	155	87	62
ENSG00000009413	3130	148	109	105	156	106	77
ENSG00000196569	3122	159	86	98	164	111	110
ENSG00000135837	3117	161	131	161	190	64	98
ENSG00000117724	3114	193	167	184	175	34	75
ENSG00000038382	3097	144	88	120	175	108	103
ENSG00000188596	3096	159	110	112	160	132	67
ENSG00000174844	3092	166	112	122	174	147	92
ENSG00000106772	3088	106	54	155	169	96	133
ENSG00000156920	3080	103	54	76	135	95	43
ENSG00000101680	3075	142	67	102	175	96	103
ENSG00000174197	3065	143	114	102	123	70	70
ENSG00000111799	3063	146	68	97	161	114	96
ENSG00000149311	3056	161	114	124	173	122	87
ENSG00000038219	3051	128	96	174	164	11	109
ENSG00000171634	3046	133	103	120	119	48	71
ENSG00000104093	3036	126	79	81	136	120	89
ENSG00000172869	3027	131	74	95	139	127	84
ENSG00000075539	3013	134	73	105	147	107	85
ENSG00000073910	3013	139	67	108	155	105	87
ENSG00000270629	2988	128	73	165	168	71	130
ENSG00000160145	2986	148	101	133	173	129	102
ENSG00000116539	2969	130	106	88	148	82	66
ENSG00000182095	2968	120	59	98	126	53	56
ENSG00000074755	2961	131	62	97	140	104	77
ENSG00000138162	2948	128	84	159	180	29	91
ENSG00000172915	2946	145	66	96	149	91	71
ENSG00000114270	2944	148	46	97	158	39	71
ENSG00000168016	2925	152	108	128	160	118	81
ENSG00000143126	2923	119	16	74	138	102	90
ENSG00000138829	2912	128	44	104	132	112	60
ENSG00000177200	2897	116	80	95	125	99	79
ENSG00000130589	2896	150	28	103	147	113	60
ENSG00000117523	2896	103	75	87	108	54	59
ENSG00000096696	2871	164	129	150	187	93	92
ENSG00000166147	2871	144	51	107	129	104	71
ENSG00000198589	2863	140	64	97	152	95	76
ENSG00000197915	2850	85	8	29	37	108	9
ENSG00000158683	2849	118	38	79	126	127	56
ENSG00000105429	2845	98	10	71	148	110	65
ENSG00000134982	2843	154	88	107	131	53	72
ENSG00000196712	2839	137	93	83	138	92	71
ENSG00000133401	2839	136	71	110	148	40	66
ENSG00000101825	2828	138	71	89	135	90	65
ENSG00000110799	2813	132	52	89	152	92	88
ENSG00000170776	2813	115	76	126	155	50	99
ENSG00000142449	2809	117	11	95	129	112	69
ENSG00000164190	2804	134	100	89	132	72	93
ENSG00000166963	2803	103	77	130	143	47	97
ENSG00000133863	2789	120	108	114	147	93	86
ENSG00000145934	2774	116	53	60	147	110	92
ENSG00000149256	2769	116	47	67	148	122	105
ENSG00000042832	2768	111	34	94	148	127	74
ENSG00000150995	2758	136	78	120	139	96	91
ENSG00000160796	2754	107	23	94	140	91	60
ENSG00000257335	2753	106	42	76	161	142	94
ENSG00000167978	2752	119	55	72	94	12	29
ENSG00000154864	2752	131	80	70	110	116	64
ENSG00000009694	2725	114	41	73	143	126	88
