fluid	gene	uniprot	Mass spectrometry	SomaScan	Olink PEA	Luminex xMAP	NULISAseq	ELISA-based protein array	group	pe	p_seq	pep_n_unique	pep_n_clean	pep_frac_shared	ensg	is_secreted	has_signal	ms_class	on_somascan	on_olink	org_lysate_ms	org_lysate_aff	org_media_ms	org_media_aff	druggable	approved_drug
plasma	A1BG	P04217	1	0	0	0	0	0	ms_only	1.0	0.6462415473297943	15.0	10.0	0.0	ENSG00000121410	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	1
plasma	A2M	P01023	1	0	0	1	0	0	ms_only	1.0	0.9148703059268368	60.0	36.0	0.1304347826086956	ENSG00000175899	1.0	1.0	confirmable	1	0	1.0	1.0	1.0	1.0	1	1
plasma	ACE	P12821	1	0	0	1	0	0	ms_only	1.0	0.851623417555103	53.0	29.0	0.0	ENSG00000159640	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	1
plasma	ACHE	P22303	0	1	0	0	0	0	affinity_only	1.0	0.8052526043989328	25.0	14.0	0.0384615384615384				confirmable	1	1					1	1
plasma	ADA10	O14672	1	0	0	0	0	0	ms_only	1.0	0.6959706437640514	29.0	8.0	0.0	ENSG00000137845	0.0	1.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	ADAMTS13	Q76LX8	0	1	0	0	0	0	affinity_only	1.0	0.7965027478195319	61.0	18.0	0.0	ENSG00000160323	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	0.0	0	0
plasma	AFM	P43652	1	0	0	0	0	0	ms_only	1.0	0.7882705176403894	36.0	15.0	0.0	ENSG00000079557	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	0	0
plasma	AGER	Q15109	0	1	0	1	0	0	affinity_only	1.0	0.6728239627505849	10.0	5.0	0.0	ENSG00000204305	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	1
plasma	AGRP	O00253	0	1	0	0	0	0	affinity_only	1.0	0.4507874234334664	3.0	0.0	0.0	ENSG00000159723	1.0	1.0	inference_limited	1	1	0.0	1.0	0.0	1.0	1	0
plasma	ALAD	P13716	0	1	0	0	0	0	affinity_only	1.0	0.7394354910640991	15.0	4.0	0.0	ENSG00000148218	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	1.0	1	0
plasma	AMBP	P02760	1	0	0	1	0	0	ms_only	1.0	0.7392947440218476	8.0	2.0	0.0	ENSG00000106927	1.0	1.0	inference_limited	1	1	0.0	1.0	0.0	1.0	0	0
plasma	AMOTL2	Q9Y2J4	0	0	1	0	0	0	affinity_only	1.0	0.9221760446681176	34.0	24.0	0.0285714285714285				confirmable	1	1					0	0
plasma	ANG2 (VPS51)	Q9UID3	0	0	0	1	0	1	other_only	1.0	0.9018973904357792	36.0	22.0	0.0	ENSG00000149823	0.0	0.0	confirmable	0	0	1.0	0.0	0.0	0.0	0	0
plasma	ANTXR2	P58335	0	1	0	0	0	0	affinity_only	1.0	0.8051212491893642	19.0	15.0	0.05				confirmable	1	0					0	0
plasma	APMAP	Q9HDC9	1	0	0	0	0	0	ms_only	1.0	0.9192238196366982	20.0	11.0	0.0	ENSG00000101474	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	0.0	0	0
plasma	APOA1	P02647	1	0	0	0	0	0	ms_only	1.0	0.9363265023038614	17.0	15.0	0.0	ENSG00000118137	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	APOA2	P02652	0	0	0	1	0	0	other_only	1.0	0.8054385839745986	4.0	3.0	0.0	ENSG00000158874	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	0
plasma	APOA4	P06727	1	0	0	0	0	0	ms_only	1.0	0.9367580561933818	23.0	20.0	0.0	ENSG00000110244	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	1	0
plasma	APOB	P04114	0	1	0	1	0	0	affinity_only	1.0	0.9729280581539628	247.0	177.0	0.0040322580645161	ENSG00000084674	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	0.0	1	1
plasma	APOC1	P02654	1	0	0	0	0	0	ms_only	1.0	0.8163138251306651	3.0	3.0	0.0	ENSG00000130208	1.0	1.0	confirmable	1	0	1.0	1.0	0.0	1.0	1	1
plasma	APOC2	P02655	1	0	0	0	0	0	ms_only	1.0	0.7335587406768012	4.0	3.0	0.0	ENSG00000234906	1.0	1.0	confirmable	1	0	0.0	1.0	0.0	1.0	1	1
plasma	APOC3	P02656	0	1	0	1	0	0	affinity_only	1.0	0.878468928045169	4.0	4.0	0.0	ENSG00000110245	1.0	1.0	confirmable	1	0	1.0	1.0	1.0	0.0	1	1
plasma	APOC4	P55056	1	0	0	0	0	0	ms_only	1.0	0.7425811527221808	6.0	4.0	0.0	ENSG00000267467	1.0	1.0	confirmable	0	0					1	1
plasma	APOD	P05090	1	1	0	1	0	0	both	1.0	0.6524352210515	8.0	4.0	0.0	ENSG00000189058	1.0	1.0	chemistry_limited	1	1	0.0	1.0	0.0	1.0	1	1
plasma	APOE	P02649	1	1	1	1	0	0	both	1.0	0.9481296278632114	21.0	16.0	0.0	ENSG00000130203	1.0	1.0	confirmable	1	1	1.0	1.0	1.0	1.0	1	1
plasma	APOF	Q13790	0	1	0	0	0	0	affinity_only	1.0	0.7360897465520867	4.0	2.0	0.0				inference_limited	1	1					1	1
plasma	APOH	P02749	1	0	0	1	0	0	ms_only	1.0	0.5872477522944385	16.0	2.0	0.0	ENSG00000091583	1.0	1.0	inference_limited	1	1	0.0	0.0	0.0	1.0	1	0
plasma	APOM	O95445	0	1	0	0	0	0	affinity_only	1.0	0.6931782719269478	10.0	4.0	0.0	ENSG00000204444	1.0	1.0	confirmable	1	1	0.0	1.0	0.0	1.0	0	0
plasma	AQR	O60306	1	0	0	0	0	0	ms_only	1.0	0.8836817887188422	64.0	35.0	0.0153846153846153				confirmable	0	0					0	0
plasma	ARPC2	O15144	0	1	0	0	0	0	affinity_only	1.0	0.9244849188455262	19.0	11.0	0.0	ENSG00000163466	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	ASB9	Q96DX5	0	1	0	0	0	0	affinity_only	1.0	0.7436579243847928	11.0	4.0	0.0	ENSG00000102048	0.0	0.0	confirmable	1	0	1.0	1.0	0.0	1.0	0	0
plasma	ATRN	O75882	1	0	0	0	0	0	ms_only	1.0	0.7977628563652436	55.0	16.0	0.0178571428571428	ENSG00000088812	1.0	1.0	confirmable	1	1	1.0	1.0	0.0	1.0	0	0
