arm,ensg,uniprot,pe,p_seq,soma_present,olink_present,ms_present,aff_abund_z,pep_n_unique
Organoid,ENSG00000231213,A0PG75,2,0.6772815317993274,1,0,0,2.593831180211803,10.0
Organoid,ENSG00000256574,Q8NGR1,2,0.2779103236464567,1,0,0,2.3649014888927993,5.0
Organoid,ENSG00000173662,Q7RTX1,2,0.6519841759947814,1,0,0,2.2626224104124577,32.0
Organoid,ENSG00000172969,A6NGY1,3,0.5594133640620256,1,0,0,2.077136121427318,5.0
Organoid,ENSG00000188958,Q765I0,3,0.3487883098758071,1,0,0,2.0477832884983505,0.0
Organoid,ENSG00000255423,Q6P2I7,2,0.7524672955593756,1,0,0,1.948915567558886,13.0
Organoid,ENSG00000253148,Q2M5E4,2,0.6492459171866541,1,0,0,1.9205432033485146,8.0
Organoid,ENSG00000204480,Q5SWL8,3,0.4929567885242658,1,0,0,1.4459135781418186,14.0
Organoid,ENSG00000278289,P0DMU7,2,0.1416927741910467,1,0,0,1.4198224119732339,0.0
Organoid,ENSG00000182583,Q9H320,2,0.388631978082884,1,0,0,1.3004061069898651,0.0
Organoid,ENSG00000271449,Q5DJT8,2,0.159286613990455,1,0,0,1.0985070239568784,0.0
Media,ENSG00000231213,A0PG75,2,0.6772815317993274,1,0,0,1.0018131027978683,10.0
Organoid,ENSG00000263956,Q86T75,2,0.0956804123557892,0,1,0,0.8229300379811105,4.0
Media,ENSG00000253148,Q2M5E4,2,0.6492459171866541,1,0,0,0.744638178341828,8.0
Organoid,ENSG00000233803,P0CV99,3,0.1966051055038019,1,0,0,0.665282169168058,0.0
Organoid,ENSG00000233701,Q6ZRP0,2,0.6007493203443122,1,0,0,0.6599714211057239,5.0
Organoid,ENSG00000277865,H0YM25,3,0.6131856614250832,1,0,0,0.5923628253942054,2.0
Organoid,ENSG00000186523,Q8N7N1,2,0.5536181109124164,1,0,0,0.5611970876959038,1.0
Organoid,ENSG00000205856,Q6IC83,2,0.6832588113202709,1,1,1,0.5540550418991368,3.0
Organoid,ENSG00000205097,Q64ET8,2,0.512436692319992,1,0,0,0.49511381905806623,2.0
Organoid,ENSG00000271567,A0A075B759,3,0.4722056376889483,1,0,0,0.3887998432374245,0.0
Organoid,ENSG00000267631,A6NKQ9,2,0.2258579919232294,1,0,0,0.3778647803404427,0.0
