is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	ensg	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding
0.0	0.0			0.0	CDR1as	29.0	1.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000000003	8.0	8.0	95.0	37.0	23.242105263157896	0.9222021052631579	1.0	99.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000000005	4.0	4.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000000419	5.0	5.0	0.0				0.0	160.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000000457	17.0	16.0	15.0	43.0	21.2	0.47037333333333337	1.0	127.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000000460	4.0	4.0	98.0	63.0	24.46938775510204	0.7960857142857143	1.0	148.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000000938	1.0	1.0	1.0	12.0	12.0	0.6678	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000000971	0.0	0.0	4.0	31.0	25.75	0.28515	1.0	130.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000001036	1.0	1.0	0.0				0.0	163.0	1.0	1.0	1.0	0.0
1.0	1.0	2.0	2.0	0.0	ENSG00000001084	11.0	11.0	0.0				0.0	156.0	1.0	1.0	1.0	0.0
1.0	3.0	3.0	4.0	0.0	ENSG00000001167	30.0	27.0	34.0	74.0	29.61764705882353	0.65145	1.0	152.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000001460	2.0	2.0	1.0	33.0	33.0	0.266	1.0	101.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000001461	7.0	7.0	112.0	74.0	45.517857142857146	0.2836142857142857	1.0	156.0	1.0	1.0	1.0	0.0
1.0	4.0	11.25	27.0	1.0	ENSG00000001497	8.0	8.0	0.0				0.0	164.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000001561	5.0	5.0	11.0	63.0	29.727272727272727	0.2071090909090909	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000001617	2.0	2.0	5.0	79.0	51.8	0.337	1.0	136.0	1.0	1.0	1.0	0.0
1.0	4.0	2.75	3.0	0.0	ENSG00000001626	11.0	10.0	0.0				0.0	9.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000001629	24.0	21.0	7.0	14.0	10.571428571428571	0.6959	1.0	164.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000001630	1.0	1.0	4.0	53.0	49.0	0.300975	1.0	165.0	1.0	1.0	1.0	0.0
1.0	4.0	3.0	3.0	0.0	ENSG00000001631	10.0	10.0	60.0	63.0	21.883333333333333	0.006895	1.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002016	3.0	3.0	4.0	56.0	28.25	0.408975	1.0	156.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002330	0.0	0.0	23.0	54.0	53.04347826086956	0.6295000000000001	1.0	153.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002549	0.0	0.0	0.0				0.0	155.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002586	0.0	0.0	45.0	49.0	44.48888888888889	0.005833333333333334	1.0	147.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002587	9.0	8.0	7.0	35.0	21.285714285714285	0.33002857142857145	1.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000002726	2.0	2.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000002745	2.0	2.0	3.0	65.0	46.333333333333336	0.04203333333333333	1.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000002746	19.0	17.0	0.0				0.0	27.0	1.0	1.0	1.0	0.0
1.0	2.0	1.5	2.0	0.0	ENSG00000002822	0.0	0.0	1.0	26.0	26.0	0.4629	1.0	166.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002834	24.0	20.0	26.0	55.0	41.19230769230769	0.3551192307692308	1.0	168.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000002919	17.0	16.0	93.0	85.0	27.258064516129032	0.7223537634408602	1.0	129.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003056	11.0	11.0	174.0	75.0	42.10919540229885	0.36577816091954024	1.0	162.0	1.0	1.0	1.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000003096	6.0	6.0	8.0	63.0	45.125	0.3918	1.0	98.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003137	25.0	21.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000003147	2.0	2.0	0.0				0.0	131.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003249	2.0	2.0	0.0				0.0	143.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003393	12.0	12.0	6.0	18.0	12.833333333333334	0.10771666666666667	1.0	141.0	1.0	1.0	1.0	0.0
1.0	6.0	4.166666666666667	7.0	0.0	ENSG00000003400	6.0	6.0	13.0	33.0	16.23076923076923	0.06771538461538462	1.0	155.0	1.0	1.0	1.0	0.0
1.0	7.0	4.285714285714286	7.0	0.0	ENSG00000003402	0.0	0.0	126.0	91.0	39.76984126984127	0.17972857142857143	1.0	165.0	1.0	1.0	1.0	0.0
1.0	2.0	3.0	4.0	0.0	ENSG00000003436	1.0	1.0	30.0	81.0	45.03333333333333	0.3661333333333333	1.0	166.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003509	1.0	1.0	2.0	11.0	11.0	0.6215	1.0	144.0	1.0	1.0	1.0	0.0
1.0	1.0	112.0	112.0	1.0	ENSG00000003756	2.0	2.0	23.0	43.0	21.695652173913043	0.49523913043478257	1.0	165.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003987	3.0	2.0	0.0				0.0	90.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000003989	18.0	16.0	3.0	28.0	24.0	0.05403333333333333	1.0	107.0	1.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004059	1.0	1.0	0.0				0.0	166.0	1.0	1.0	1.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000004139	9.0	8.0	5.0	77.0	60.0	0.06662	1.0	136.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004142	6.0	6.0	7.0	33.0	33.0	0.6383	1.0	164.0	1.0	1.0	1.0	0.0
1.0	4.0	2.5	3.0	0.0	ENSG00000004399	13.0	13.0	1.0	24.0	24.0	0.4205	1.0	164.0	1.0	1.0	1.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000004455	11.0	11.0	10.0	15.0	14.4	0.26387	1.0	166.0	1.0	1.0	1.0	0.0
1.0	6.0	2.6666666666666665	4.0	0.0	ENSG00000004468	3.0	3.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004478	10.0	10.0	4.0	23.0	15.5	0.02475	1.0	165.0	1.0	1.0	1.0	0.0
1.0	21.0	8.238095238095237	28.0	1.0	ENSG00000004487	1.0	1.0	0.0				0.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004534	2.0	2.0	11.0	93.0	56.54545454545455	0.9016818181818181	1.0	167.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004660	7.0	7.0	0.0				0.0	122.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004700	2.0	2.0	60.0	89.0	28.3	0.05631166666666666	1.0	131.0	1.0	1.0	1.0	0.0
1.0	1.0	4.0	4.0	0.0	ENSG00000004766	0.0	0.0	4.0	26.0	22.0	0.7182250000000001	1.0	142.0	1.0	1.0	1.0	0.0
1.0	1.0	3.0	3.0	0.0	ENSG00000004776	3.0	3.0	0.0				0.0	44.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004777	0.0	0.0	1.0	18.0	18.0	0.2975	1.0	152.0	1.0	1.0	1.0	0.0
1.0	2.0	30.0	44.0	1.0	ENSG00000004779	1.0	1.0	57.0	66.0	42.75438596491228	0.4937771929824562	1.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004799	14.0	13.0	1.0	67.0	67.0	0.0599	1.0	4.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004809	0.0	0.0	0.0				0.0	4.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004838	1.0	1.0	0.0				0.0	28.0	0.0	1.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004846	1.0	1.0	0.0				0.0	8.0	1.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004848	12.0	12.0	0.0				0.0	1.0	0.0	0.0	0.0	0.0
0.0	0.0			0.0	ENSG00000004864	0.0	0.0	5.0	20.0	19.6	0.56082	1.0	163.0	1.0	1.0	1.0	0.0
0.0	0.0			0.0	ENSG00000004866	3.0	3.0	1.0	31.0	31.0	0.3918	1.0	163.0	1.0	1.0	1.0	0.0
