ensg	soma_abund	olink_abund	ms_batches	ms_frac	ms_abund	uniprot	ms_n_batches	ms_present	ms_present2	ms_any	soma_present	olink_present	aff_present	aff_abund_z	r_soma_olink	p_soma_olink	n_soma_olink	concordant	r_ms_soma	r_ms_olink	soma_abund_AD	soma_abund_Control	olink_abund_AD	olink_abund_Control	fluid	arm	set	p_detect_intrinsic	p_detect_practical	p_detect_full	top_dark_reason	tryptic_per_kda	n_tryptic_7_30	n_tm	is_secreted	has_signal	is_membrane	disorder_fraction_proxy	pep_n_unique	pep_frac_shared	pep_max_shared_genes	pep_n_clean
ENSG00000000005	8.552564045946118		0	0.0		Q9H2S6	3	0	0	0	1	0	1	-0.02297808829574564				0			8.535881761535924	8.56924633035631			CSF	neat	CSF neat					0.3232	12.0	1.0	0.0	0.0	0.0	0.5255972696245734	12.0	0.0	0.0	3.0
ENSG00000000938	6.062072783192728	2.5856697222222222	0	0.0		P09769	3	0	0	0	1	1	1	-0.9187094029403972	0.018349909130856934	0.9166729046739069	35.0	0			6.019804527068688	6.1043410393167665	2.62462	2.5467194444444448	CSF	neat	CSF neat	0.933261183870789	0.8798163457763585	0.9743514094453184	size	0.4035	24.0	0.0	0.0	0.0	1.0	0.2321428571428571	22.0	0.0833333333333333	27.0	12.0
ENSG00000000971	17.575832181710467		3	1.0	14.31276461132822	P08603	3	1	1	1	1	0	1	3.742790674238159				0	0.6302521008403362		17.534794410650495	17.616869952770447			CSF	neat	CSF neat	0.8857252488267652	0.9677769774896364	0.9858333511535906	proteotypicity	0.4314	60.0	0.0	1.0	1.0	1.0	0.1631623212783852	52.0	0.1333333333333333	2.0	10.0
ENSG00000001167	7.939313608920386		0	0.0		P23511	3	0	0	0	1	0	1	-0.2789118923914547				0			7.927559129930024	7.951068087910749			CSF	neat	CSF neat	0.8067761493815128	0.8779150313752919	0.7879830941071381	structure_af	0.0542	2.0	0.0	0.0	0.0	0.0	0.2167182662538699	2.0	0.0	0.0	0.0
ENSG00000001617		2.847273888888889	3	1.0	4.815544653781929	C9JPG5	3	1	1	1	0	1	1	-0.6776575072199785				0		0.7073359073359073			2.734138888888889	2.9604088888888893	CSF	neat	CSF neat	0.8605009554667984	0.8305385724037824	0.6694750595313721	abundance	0.4526	40.0	0.0	1.0	1.0	0.0	0.2436069986541049				
ENSG00000001626	7.790133489936878		0	0.0		P13569	3	0	0	0	1	0	1	-0.3411706908230942				0			7.761041920193392	7.819225059680361			CSF	neat	CSF neat	0.9249568878183	0.9159962363881882	0.7678575254689379	abundance	0.4104	69.0	12.0	0.0	0.0	1.0	0.206043956043956	69.0	0.0	0.0	37.0
ENSG00000002330	8.465743754997188		0	0.0		Q92934	3	0	0	0	1	0	1	-0.05921164964960995				0			8.434764308252179	8.4967232017422			CSF	neat	CSF neat	0.8445322058645802	0.8958390237295936	0.9416215450498376	structure_af	0.4893	9.0	0.0	0.0	0.0	0.0	0.3333333333333333	9.0	0.0	0.0	4.0
ENSG00000002549	10.21048407867242	1.9161558333333335	3	1.0	5.210842206535789	P28838	3	1	1	1	1	1	1	-0.1776997045763804	0.13137254901960785	0.45189854499762044	35.0	0	0.4249894984963354	0.08984425354385735	10.272319442034856	10.14864871530998	1.9574249999999997	1.8748866666666661	CSF	neat	CSF neat	0.9405046736862032	0.9469367381831664	0.9929689311774148	size	0.5697	32.0	0.0	0.0	0.0	0.0	0.204040404040404	32.0	0.0	0.0	17.0
ENSG00000002587	8.432598263971533		0	0.0		O14792	3	0	0	0	1	0	1	-0.07304458166994232				0			8.408589069906403	8.456607458036665			CSF	neat	CSF neat	0.8263346764014811	0.8238828109794949	0.188037242578764	abundance	0.3634	13.0	0.0	0.0	1.0	0.0	0.2699619771863117	13.0	0.0	0.0	8.0
ENSG00000002726	8.203708349411013	0.9330194444444445	0	0.0		P19801^SL008573@AOC1.6209.2	3	0	0	0	1	1	1	-0.7794771762263638	-0.09551820728291317	0.5851887979416915	35.0	0			8.190575184617234	8.216841514204797	0.9970794444444443	0.8689594444444444	CSF	neat	CSF neat	0.9772478561535948	0.9637456144096428	0.9654063571456182	composition	0.3865	33.0	0.0	1.0	1.0	1.0	0.0932203389830508				
