ensg	n_Trypsin	n_LysC	n_LysN	n_AspN	n_GluC	n_Chymotrypsin	log_abundance_peak	log_abundance_med	n_tm	log_mw	log_tryptic	length	is_membrane	ms_dark	trypsin_limited	rescued_any	membrane
ENSG00000005102	1	1	0	1	1	1	-0.7351821769904635	-0.7351821769904635	0.0	4.447111497297647	0.9030899869919436	254.0	0.0	True	True	False	False
ENSG00000008226	1	1	0	0	1	1	-1.408935392973501	-1.408935392973501	0.0	5.291555317248284	1.845098040014257	1755.0	0.0	True	True	False	False
ENSG00000019549	1	1	3	1	1	0	-1.619788758288394	-1.619788758288394	0.0	4.47691853665688	1.0791812460476249	268.0	0.0	True	True	True	False
ENSG00000037749	0	0	1	1	0	0	-1.2839966563652008	-1.2839966563652008	1.0	4.603847771299424	1.230448921378274	362.0	1.0	True	True	False	True
ENSG00000063015	1	0	0	0	0	0	-0.9507819773298184	-0.9507819773298184	1.0	5.031105362355941	1.5314789170422551	994.0	1.0	True	True	False	True
ENSG00000064932	0	0	0	0	1	1	-0.6777807052660807	-0.6777807052660807	0.0	5.176886736640655	1.740362689494244	1366.0	0.0	True	True	False	False
ENSG00000069493	1	0	0	1	2	1	-1.080921907623926	-1.080921907623926	1.0	4.339431564673933	1.0413926851582251	191.0	1.0	True	True	True	True
ENSG00000075399	0	0	0	0	1	0	-2.0457574905606752	-2.0457574905606752	0.0	4.83857206099079	1.462397997898956	631.0	0.0	True	True	False	False
ENSG00000075673	0	0	0	0	1	0	0.2988530764097066	0.2988530764097066	10.0	5.062623343637927	1.6812412373755872	1039.0	1.0	True	True	False	True
ENSG00000075826	1	0	0	3	0	0	-1.3010299956639813	-1.3010299956639813	0.0	5.1095684233719	1.7634279935629371	1179.0	1.0	True	True	True	True
ENSG00000077585	1	1	0	1	0	1	-1.5686362358410126	-1.5686362358410126	7.0	4.658955318558207	1.1760912590556811	399.0	1.0	True	True	False	True
ENSG00000081842	1	0	0	0	0	0	-1.337242168318426	-1.337242168318426	1.0	5.0116380986166	1.6020599913279625	950.0	1.0	True	True	False	True
ENSG00000083838	1	0	0	0	0	0	-0.2139587897574457	-0.2139587897574457	0.0	4.689814797140689	1.230448921378274	450.0	0.0	True	True	False	False
ENSG00000089723	1	0	0	0	0	0	0.2810333672477275	0.2810333672477275	0.0	4.434776421663154	1.0413926851582251	234.0	0.0	True	True	False	False
ENSG00000092200	1	1	1	0	1	0	-1.853871964321762	-1.853871964321762	0.0	5.166376822907342	1.7993405494535817	1286.0	1.0	True	True	False	True
ENSG00000096092	1	0	0	0	0	2	-1.6575773191777938	-1.6575773191777938	3.0	4.029870564003953	0.6020599913279624	99.0	1.0	True	True	True	True
ENSG00000099999	1	0	0	0	0	0	-3.5228787452803374	-3.5228787452803374	2.0	4.613852388523237	1.230448921378274	377.0	1.0	True	True	False	True
ENSG00000100218	0	1	0	1	0	0	-2.397940008672037	-2.397940008672037	0.0	4.586497286124039	1.3010299956639813	348.0	0.0	True	True	False	False
