uniprot	pe	pe_text	length	mw_da	gravy	pI	n_tryptic_7_30	tryptic_per_kda	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	pep_frac_unique	pep_frac_shared	pep_max_shared_genes	pep_n_unique	pep_n_clean	pep_clean_per_kda	pep_coverage_clean	pep_frac_met	pep_frac_cys	pep_frac_sequon	pep_frac_slow_cleave	pep_gravy_mean	pep_frac_hydrophilic	pep_frac_hydrophobic	pep_max_gap	pep_coverage_7_30	ensg	y	p_seq
A0A087X1C5	1	Evidence at protein level	515	57488.71136499988	-0.016116504854368986	8.5	23	0.4000785450550697	0.017475728155339806	0.20776699029126214	0.07766990291262135	0.06990291262135923	0.0854368932038835	1	0.0	0.391304347826087	0.6086956521739131	1	9	5	0.0870290553455065	0.1339805825242718	0.1304347826086956	0.217391304347826	0.0434782608695652	0.5217391304347826	0.0282998743302341	0.0869565217391304	0.0869565217391304	37	0.6757281553398058			0.6479514131625642
A0A096LP01	1	Evidence at protein level	95	10908.238265000007	-0.5547368421052633	6.8	6	0.5500429908330386	0.0	0.23157894736842105	0.05263157894736842	0.08421052631578947	0.15789473684210525	0	0.0	1.0	0.0	0	6	5	0.4586596230667941	0.5684210526315789	0.1666666666666666	0.0	0.0	0.6666666666666666	-0.6524981962481963	0.0	0.0	21	0.7894736842105263			0.9439722669178219
A0A0B4J2F0	1	Evidence at protein level	54	6313.375964999999	-0.23518518518518516	9.04	2	0.3167877235709659	0.0	0.2777777777777778	0.018518518518518517	0.05555555555555555	0.12962962962962962	0	0.0	1.0	0.0	0	2	1	0.1584952479921463	0.5555555555555556	0.5	0.0	0.0	1.0	-0.1066666666666666	0.0	0.5	30	0.7407407407407407			0.7781146179445974
A0A0C5B5G6	1	Evidence at protein level	16	2174.607765	-0.9375	10.64	1	0.4598530438890436	0.0	0.3125	0.0625	0.0625	0.25	0	0.0	1.0	0.0	0	1	0	0.0	0.0	1.0	0.0	0.0	1.0	-0.7090909090909091	0.0	0.0	11	0.6875			0.6824534982560327
A0A0K2S4Q6	1	Evidence at protein level	201	21806.15946500001	-0.04011299435028244	4.9	4	0.18343441019131326	0.03389830508474576	0.1694915254237288	0.07909604519774012	0.07344632768361582	0.0847457627118644	1	0.0	1.0	0.0	0	4	1	0.0458883771801814	0.0945273631840796	0.25	0.5	0.25	0.0	0.1839085861204736	0.0	0.25	40	0.4825870646766169			0.41358762596737847
A0A0U1RRE5	1	Evidence at protein level	68	7024.962264999998	-1.005882352941177	9.98	4	0.5693980763325852	0.029411764705882353	0.20588235294117646	0.23529411764705882	0.10294117647058823	0.029411764705882353	0	0.0	1.0	0.0	0	4	3	0.4273179338999448	0.6470588235294118	0.25	0.25	0.0	0.25	-1.1557870370370371	0.25	0.0	27	0.7941176470588235			0.22930713934000468
A0A1B0GTW7	1	Evidence at protein level	788	85396.90006500011	-0.21276041666666656	7.75	33	0.3864308888833429	0.037760416666666664	0.16536458333333334	0.07682291666666667	0.09244791666666667	0.06770833333333333	5	0.0	1.0	0.0	0	33	13	0.1523280738334276	0.2474619289340101	0.2727272727272727	0.4545454545454545	0.0909090909090909	0.4242424242424242	-0.1767611475070981	0.0303030303030303	0.0606060606060606	63	0.6015228426395939			0.7108767448095137
A0A2R8Y7D0	1	Evidence at protein level	87	10123.629165	-0.5206896551724137	11.03	6	0.5926728352262792	0.0	0.2988505747126437	0.034482758620689655	0.05747126436781609	0.06896551724137931	0	0.0	1.0	0.0	0	6	6	0.5930336610412072	0.7471264367816092	0.0	0.0	0.0	0.8333333333333334	-0.3214577497665733	0.0	0.0	17	0.7471264367816092			0.9075547663183211
A0A8I5KQE6	1	Evidence at protein level	295	32909.10816499998	-0.3125850340136056	4.51	12	0.3646406927782513	0.006802721088435374	0.22108843537414966	0.06802721088435375	0.05102040816326531	0.09523809523809523	0	0.0	0.1666666666666666	0.8333333333333334	1	2	1	0.0304058513213907	0.0610169491525423	0.25	0.1666666666666666	0.0	0.5	-0.196789609383386	0.1666666666666666	0.0	71	0.576271186440678			0.7530948599665658
A0AV02	1	Evidence at protein level	714	78238.79726500002	0.3212885154061639	5.5	21	0.2684090340610887	0.0196078431372549	0.14145658263305322	0.047619047619047616	0.09103641456582633	0.10644257703081232	5	0.0	1.0	0.0	0	21	10	0.127896853864802	0.1568627450980392	0.238095238095238	0.2857142857142857	0.0476190476190476	0.6666666666666666	-0.2037381792622454	0.0476190476190476	0.1428571428571428	77	0.3935574229691876	ENSG00000221955	0.0	0.8291235899491926
