ensg	Transcript count	Transcript length (including UTRs and CDS)	exon_count	manual_gc_content	cai	kozak_score	utr5_length	utr3_length	cds_length	utr5_gc	utr3_gc	utr3_to_cds_ratio
ENSG00000000003	23	3768	8	38.50849256900212	0.53843817758674	0.8125	112.0	2918.0	735.0	62.5	36.90884167237834	3.970068027210884
ENSG00000000005	3	1205	7	42.32365145228216	0.5606188209889688	1.0	83.0	168.0	951.0	53.01204819277109	39.285714285714285	0.17665615141955837
ENSG00000000419	38	1054	9	37.571157495256166	0.4979186597325731	0.875	9.0	262.0	780.0	66.66666666666666	25.572519083969464	0.33589743589743587
ENSG00000000457	27	6308	13	40.67850348763475	0.5368406425731593	0.75	159.0	4082.0	2064.0	62.264150943396224	37.628613424791766	1.9777131782945736
ENSG00000000460	34	4011	25	40.33906756419846	0.5099597309914553	0.4375	356.0	1093.0	2559.0	42.69662921348314	35.49862763037511	0.4271199687377882
ENSG00000000938	40	2637	13	57.1482745544179	0.7172115611573014	0.625	197.0	850.0	1587.0	72.08121827411168	50.8235294117647	0.5356017643352237
ENSG00000000971	102	3962	22	39.2226148409894	0.5033342234683751	0.5	75.0	191.0	3693.0	38.666666666666664	27.748691099476442	0.051719469266179256
ENSG00000001036	30	2385	7	44.19287211740042	0.559921329426058	0.625	86.0	895.0	1401.0	72.09302325581395	35.08379888268156	0.6388294075660242
ENSG00000001084	28	3785	16	44.20079260237781	0.5812277111879601	0.9375	456.0	1415.0	1911.0	76.09649122807018	32.93286219081272	0.7404500261643119
ENSG00000001167	57	6209	10	46.31985827025286	0.585025038090786	1.0	172.0	4993.0	1041.0	65.11627906976744	44.20188263568996	4.796349663784822
ENSG00000001460	22	2726	9	51.320616287600885	0.5707451726171194	0.75	177.0	1544.0	1002.0	55.367231638418076	54.01554404145078	1.5409181636726548
ENSG00000001461	37	5372	12	48.54802680565897	0.6630726923704665	0.875	360.0	3791.0	1218.0	56.666666666666664	46.32023212872593	3.11247947454844
ENSG00000001497	76	2470	14	54.089068825910935	0.6248743423352724	0.375	72.0	193.0	2202.0	63.888888888888886	48.18652849740933	0.08764759309718438
ENSG00000001561	8	4644	4	34.43152454780362	0.5107821769503934	0.375	234.0	3048.0	1359.0	68.37606837606837	30.01968503937008	2.2428256070640176
ENSG00000001617	22	3607	19	61.741059051843635	0.6597900723076164	0.5	289.0	960.0	2355.0	78.54671280276817	57.291666666666664	0.40764331210191085
ENSG00000001626	45	6070	27	40.90609555189456	0.5267330249240293	0.75	70.0	1557.0	4440.0	62.857142857142854	38.15028901734104	0.3506756756756757
