panel	feature_id	uniprot	gene	multi_target	pe	p_seq	ensg	pep_n_unique	pep_n_clean	pep_frac_shared	is_secreted	has_signal	is_membrane	is_ecm	length	mature_length	y	p_detect_intrinsic	top_dark_reason	paxdb_ppm	ensp	symbol	log_abundance	org_lysate_ms_present	org_lysate_soma_present	org_lysate_olink_present	org_lysate_aff_abund_z	org_media_ms_present	org_media_soma_present	org_media_olink_present	org_media_aff_abund_z	bf_csf_neat_ms_present	bf_csf_neat_aff_present	bf_csf_depleted_ms_present	bf_csf_depleted_aff_present	bf_plasma_neat_ms_present	bf_plasma_neat_aff_present	bf_plasma_depleted_ms_present	bf_plasma_depleted_aff_present	druggable	approved_drug	ms_class
SomaScan	10000-28	P43320	CRYBB2	0	1.0	0.877651682632676	ENSG00000244752	13.0	8.0	0.0	0.0	0.0	0.0	0.0	205.0	204.0				145.0	ENSP00000498905	CRYBB2	2.161368002234975	0.0	1.0	0.0	-0.0782270000972151	0.0	0.0	0.0	-0.7194600823627761	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0	0	confirmable
SomaScan	10001-7	P04049	RAF1	0	1.0	0.6666715847367	ENSG00000132155	29.0	9.0	0.2162162162162162	0.0	0.0	1.0	0.0	648.0	648.0	1.0	0.8813076268045268	proteotypicity	1.43	ENSP00000401888	RAF1	0.1553360374650618	1.0	1.0	0.0	-0.0555998706619981	0.0	0.0	0.0	-1.0822112015319536	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1	1	chemistry_limited
SomaScan	10003-15	P51814	ZNF41	0	1.0	0.2292374775704491	ENSG00000147124	33.0	14.0	0.2142857142857142	0.0	0.0	0.0	0.0	821.0	821.0	0.0	0.2870847323531239	abundance	0.025	ENSP00000366265	ZNF41	-1.6020599913279623	0.0	1.0	0.0	-0.122260437280319	0.0	0.0	0.0	-1.0421442868018658	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0	0	chemistry_limited
SomaScan	10006-25	P19419	ELK1	0	1.0	0.7701563426468911	ENSG00000126767	11.0	8.0	0.0833333333333333	0.0	0.0	0.0	0.0	428.0	428.0	1.0	0.7763599411223261	abundance	0.235	ENSP00000366182	ELK1	-0.6289321377282637	1.0	1.0	0.0	0.5314354194753389	0.0	1.0	0.0	-0.4579310034033372	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1	1	confirmable
SomaScan	10008-43	P43080	GUCA1A	0	1.0	0.8675018675692118	ENSG00000048545	10.0	3.0	0.0	0.0	0.0	0.0	0.0	201.0	200.0				0.016	ENSP00000053469	GUCA1A	-1.7958800173440752	0.0	1.0	0.0	-0.149879692055853	0.0	0.0	0.0	-0.5860101901350302	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1	0	confirmable
SomaScan	10010-10	Q14457	BECN1	0	1.0	0.8711748313467457	ENSG00000126581	20.0	11.0	0.0	0.0	0.0	1.0	0.0	450.0	450.0	1.0	0.9887794728723914	size	1.46	ENSP00000355231	BECN1	0.1643528557844371	1.0	1.0	1.0	0.73466529078938	0.0	0.0	0.0	-0.5196615163598044	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0	0	confirmable
SomaScan	10011-65	Q01968	OCRL	0	1.0	0.8104685525557768	ENSG00000122126	43.0	22.0	0.0227272727272727	0.0	0.0	0.0	0.0	901.0	901.0	1.0	0.92935229595863	topology	1.11	ENSP00000360154	OCRL	0.045322978786657475	1.0	1.0	0.0	0.4631394259146802	0.0	1.0	0.0	-0.3211526136904969	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1	1	confirmable
SomaScan	10012-5	O95238	SPDEF	0	1.0	0.7719054771958199		13.0	8.0	0.0714285714285714																														0	0	confirmable
SomaScan	10014-31	O43623	SNAI2	0	1.0	0.458260548563791	ENSG00000019549	11.0	6.0	0.0833333333333333	0.0	0.0	0.0	0.0	268.0	268.0	0.0	0.5157100370664969	abundance	0.024	ENSP00000020945	SNAI2	-1.6197887582883939	0.0	1.0	0.0	0.5117640279220093	0.0	1.0	0.0	-0.4851253059800134	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0	0	chemistry_limited
SomaScan	10015-119	Q13303	KCNAB2	0	1.0	0.8700835272137698	ENSG00000069424	14.0	6.0	0.1764705882352941	0.0	0.0	1.0	0.0	367.0	367.0	1.0	0.9527372807050806	size	15.4	ENSP00000367323	KCNAB2	1.187520720836463	1.0	1.0	0.0	0.0704405481894926	0.0	0.0	0.0	-0.8491787432749297	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0	0	confirmable
