ensg,ms_det,ms_abund,ms_present,ms_det_TDR1,ms_det_TDR4,ms_present_TDR1,ms_present_TDR4,ms_abund_TDR1,ms_abund_TDR4,ms_n_proteotypic,ms_n_sequences,soma_det,soma_abund,soma_present,soma_det_TDR1,soma_det_TDR4,soma_present_TDR1,soma_present_TDR4,soma_abund_TDR1,soma_abund_TDR4,olink_det,olink_abund,olink_present,olink_det_TDR1,olink_det_TDR4,olink_present_TDR1,olink_present_TDR4,olink_abund_TDR1,olink_abund_TDR4,arm,p_detect_intrinsic,p_detect_full,top_dark_reason,uniprot,tryptic_per_kda,n_tryptic_7_30,n_tm,is_secreted,has_signal,is_membrane,disorder_fraction_proxy,pep_n_unique,pep_frac_shared,pep_max_shared_genes,pep_n_clean,aff_present,aff_abund_z,zero_unique,mostly_shared,z_ab
ENSG00000171314,1.0,30.00356397673527,1,1.0,1.0,1,1,29.943082978786016,30.06404497468452,10.0,20.0,1.0,18.279754492997537,1,1.0,1.0,1,1,18.359390280599094,18.200118705395983,0.0,,0,0.0,0.0,0,0,,,Organoid,0.892665575020433,0.9597448034576826,proteotypicity,P18669,0.4513,13.0,0.0,1.0,0.0,0.0,0.3275109170305676,6.0,0.5384615384615384,2.0,2.0,1,3.0572173826416735,0,1,3.0572173826416735
ENSG00000080824,1.0,30.518107168799254,1,1.0,1.0,1,1,30.576660700837657,30.459553636760866,30.0,55.0,1.0,18.02960553325858,1,1.0,1.0,1,1,18.07537303895084,17.983838027566314,0.0,,0,0.0,0.0,0,0,,,Organoid,0.9858596362282038,0.984527767922914,proteotypicity,P07900,0.4016,34.0,0.0,0.0,0.0,1.0,0.594059405940594,16.0,0.5294117647058824,4.0,9.0,1,2.961073405496536,0,1,2.961073405496536
ENSG00000161970,1.0,26.74961388289007,1,1.0,1.0,1,1,26.608653523408513,26.890574242371628,2.0,11.0,1.0,18.028621054815385,1,1.0,1.0,1,1,18.076594317710448,17.980647791920315,0.0,,0,0.0,0.0,0,0,,,Organoid,0.956835506738634,0.7720150142880081,proteotypicity,P61254,0.3477,6.0,0.0,0.0,0.0,0.0,0.7603305785123967,1.0,0.8333333333333334,1.0,1.0,1,2.9606950242590484,0,1,2.9606950242590484
ENSG00000135486,1.0,30.23960554887101,1,1.0,1.0,1,1,30.22279810118627,30.256412996555753,1.0,24.0,1.0,17.92369142367217,1,1.0,1.0,1,1,17.98046449360576,17.86691835373859,0.0,,0,0.0,0.0,0,0,,,Organoid,0.9648427951801316,0.8970849073414414,proteotypicity,P09651,0.4646,18.0,0.0,0.0,0.0,0.0,0.2873563218390804,1.0,0.9444444444444444,5.0,1.0,1,2.9203656458398513,0,1,2.9203656458398513
ENSG00000198692,0.0,,0,0.0,0.0,0,0,,,,,1.0,17.920903884519088,1,1.0,1.0,1,1,17.98883551025814,17.852972258780035,0.0,,0,0.0,0.0,0,0,,,Organoid,0.8074135158296847,0.87572964336482,proteotypicity,O14602,0.4257,7.0,0.0,0.0,0.0,0.0,0.8083333333333333,1.0,0.8571428571428571,1.0,0.0,1,2.9192942638085015,0,1,2.9192942638085015
ENSG00000096384,1.0,28.885522422278747,1,1.0,1.0,1,1,28.946921640745153,28.82412320381233,22.0,38.0,1.0,17.790081559945527,1,1.0,1.0,1,1,17.809865274746805,17.770297845144245,0.0,,0,0.0,0.0,0,0,,,Organoid,0.9627004893755664,0.9864572908304532,proteotypicity,P08238,0.4203,35.0,0.0,1.0,0.0,1.0,0.5908440629470673,12.0,0.6571428571428571,4.0,6.0,1,2.8690131089438173,0,1,2.8690131089438173
ENSG00000156508,1.0,30.526762591425825,1,1.0,1.0,1,1,30.603163482482568,30.450361700369093,0.0,18.0,1.0,17.670377508901346,1,1.0,1.0,1,1,17.70980787013528,17.630947147667417,0.0,,0,0.0,0.0,0,0,,,Organoid,0.93852904487292,0.8827055571124591,proteotypicity,P68104,0.3789,19.0,0.0,0.0,0.0,1.0,0.2791762013729977,0.0,1.0,2.0,0.0,1,2.8230052280404463,1,1,2.8230052280404463
ENSG00000173542,1.0,24.58830998657924,1,1.0,1.0,1,1,24.387386958861235,24.789233014297245,0.0,7.0,1.0,17.475208223982666,1,1.0,1.0,1,1,17.54761979363264,17.402796654332683,0.0,,0,0.0,0.0,0,0,,,Organoid,0.3786890264547926,0.8113475269265665,proteotypicity,Q7L9L4,0.3587,9.0,0.0,0.0,0.0,0.0,0.0837696335078534,1.0,0.8888888888888888,1.0,0.0,1,2.747992518460379,0,1,2.747992518460379
ENSG00000136238,1.0,27.44906718598687,1,1.0,1.0,1,1,27.382654293808997,27.51548007816475,3.0,10.0,1.0,17.469551872665335,1,1.0,1.0,1,1,17.52296189432288,17.416141851007787,0.0,,0,0.0,0.0,0,0,,,Organoid,0.837840119396719,0.8468775996238551,proteotypicity,P63000,0.3263,7.0,0.0,0.0,0.0,1.0,0.2363636363636363,2.0,0.7142857142857143,6.0,0.0,1,2.7458185173678067,0,1,2.7458185173678067
ENSG00000170142,1.0,20.25239491443377,1,1.0,1.0,1,1,20.699916703488064,19.80487312537949,0.0,1.0,1.0,17.446412326568073,1,1.0,1.0,1,1,17.51280252423838,17.38002212889777,0.0,,0,0.0,0.0,0,0,,,Organoid,0.6216396333914542,0.6486138512226739,proteotypicity,P51965,0.327,7.0,0.0,0.0,0.0,0.0,0.1726190476190476,3.0,0.5714285714285714,2.0,2.0,1,2.736924904564277,0,1,2.736924904564277
