ensg	uniprot	length	mw_da	gravy	pI	n_tm	has_signal	n_tryptic_7_30	mature_start	mature_end	mature_length	n_glyco_sites	n_mod_res	n_disulfide	n_lipid_sites	n_glyco_sites_observed	n_mod_res_observed	n_disulfide_observed	n_lipid_sites_observed	has_propeptide	pe_level	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	disorder_fraction_proxy	pest_score_max	pest_score_sum	n_pest_regions	pest_fraction	is_secreted	is_ecm	is_membrane	is_nuclear	is_chromatin	is_cytoplasmic	is_mitochondrial	is_er_golgi	is_lysosome	is_peroxisome	is_endosome	is_vesicle	is_lipid_droplet	is_cytoskeleton	is_projection	n_compartments	is_multilocal	topo_multipass	topo_single_type1	topo_single_type2	topo_single_other	topo_peripheral	topo_lipid_anchor	topo_extracellular_aa	topo_cytoplasmic_aa	loc_n_clauses	loc_n_observed	loc_go_n_terms	loc_source	tryptic_per_kda	Transcript count	Transcript length (including UTRs and CDS)	exon_count	manual_gc_content	cai	kozak_score	utr5_length	utr3_length	cds_length	utr5_gc	utr3_gc	utr3_to_cds_ratio	is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding	mirna_site_density	pa_n_peptides	pa_n_proteotypic	pa_observed	frac_measured	n_obs	median_log_abundance	log_len	log_pa	log_tryptic
ENSG00000155657	Q8WZ42	34350	3816030	-0.4677	6.26	0	0	1771	1	34350	34350	0	14	45	0	0	1	1	0	0	1	0.0149344978165938	0.2764483260553129	0.0732751091703056	0.0601455604075691	0.0690829694323144	163	0.0112726107599545	0.3606012934801608	0.1233333333333333	13.025567283347057	440	0.1896360989810771	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	10	cc	0.4641	16.0	109224.0	363.0	44.07364681754925	0.5324963004495687	0.5	225.0	1023.0	107973.0	47.11111111111111	35.67937438905181	0.0094745908699397	1.0	1.0	2.0	2.0	0.0	8.0	8.0	0.0				0.0	160.0	1.0	1.0	1.0	0.0	7.820136852394918	9170.0	9124.0	1	1.0	2.0	1.4899584794248346	4.535926741395569	3.962416693445751	3.248218561190075
ENSG00000181143	Q8WXI7	14507	1519175	-0.3207	4.93	1	0	428	1	14507	14507	102	0	14	0	0	0	0	0	0	1	0.0024815606259047	0.1434479906252154	0.086165299510581	0.0518370441855655	0.0403253601709519	107	0.0011733848702374	0.0203687081405786	0.1211538461538461	12.197060742183034	261	0.3141931481353829	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	5	cc	0.2817	8.0	44086.0	88.0	50.401488000725855	0.6058928298170769	0.6875	82.0	294.0	43707.0	68.29268292682927	51.02040816326531	0.0067266112979614	0.0	0.0			0.0	1.0	1.0	0.0				0.0	41.0	1.0	1.0	0.0	0.0	3.4013605442176877	514.0	508.0	1				4.1615776110488705	2.711807229041191	2.6314437690131722
ENSG00000131018	Q8NF91	8797	1011086	-0.6216	5.22	1	0	484	1	8797	8797	0	4	2	0	0	5	0	0	0	1	0.0132999886324883	0.2908946231669887	0.020006820506991	0.0330794589064453	0.0544503808116403	27	0.0001139211665527	0.4394163912002736	0.0866666666666666	1.9424050061050064	75	0.1241332272365579	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	4	1	0	0	0	1	0	0	0	0	10	0	15	cc	0.4787	57.0	27708.0	146.0	46.84206727298975	0.5685993319344671	1.0	565.0	749.0	26391.0	60.53097345132743	40.32042723631509	0.0283808874237429	0.0	0.0			0.0	7.0	7.0	0.0				0.0	87.0	1.0	1.0	0.0	0.0	9.345794392523365	1604.0	1570.0	1	1.0	10.0	0.3053513694466238	3.944334591970782	3.205475036740891	2.6848453616444123
ENSG00000183091	P20929	8525	986665	-0.8071	9.43	0	0	563	1	8525	8525	0	0	0	0	0	0	0	0	0	1	0.0080938416422287	0.2987683284457478	0.0405865102639296	0.0333137829912023	0.0916129032258064	65	0.0004702562896778	0.4894718268439007	0.0703846153846153	2.2679249084249093	105	0.1648093841642228	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	4	cc	0.5706	24.0	26191.0	182.0	45.34000229086328	0.6141300943864049	0.75	192.0	421.0	25575.0	44.79166666666667	33.966745843230406	0.0164613880742913	0.0	0.0			0.0	0.0	0.0	2.0	27.0	21.5	0.7553	1.0	141.0	1.0	1.0	1.0	0.0	0.0	1159.0	1147.0	1				3.9306943876645355	3.0644579892269186	2.7505083948513462
ENSG00000154358	Q5VST9	7968	868465	-0.3489	5.85	0	0	347	1	7968	7968	0	12	39	0	0	2	0	0	0	1	0.0257279116465863	0.2420933734939759	0.0560993975903614	0.0746736947791164	0.0576054216867469	6	0.0010064159013712	0.2341389728096676	0.0873076923076923	1.764709953617075	59	0.1093122489959839	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	8	cc	0.3996	28.0	27019.0	116.0	64.18816388467374	0.7051825010870609	0.375	160.0	81.0	26775.0	71.875	69.1358024691358	0.0030252100840336	0.0	0.0			0.0	0.0	0.0	0.0				0.0	140.0	1.0	1.0	1.0	0.0	0.0	764.0	757.0	1	1.0	9.0	-0.1518108830086013	3.901349325415642	2.8836614351536176	2.5403294747908736
ENSG00000151914	Q03001	7570	860662	-0.6396	4.89	0	0	425	1	7570	7570	0	8	0	0	0	3	0	0	0	1	0.011889035667107	0.2911492734478203	0.0286657859973579	0.0396301188903566	0.0550858652575957	44	0.0002648655807177	0.4652796183408428	0.0871428571428571	2.0825789275224262	72	0.1372523117569352	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	0	7	1	22	cc	0.4938	42.0	24709.0	104.0	41.63665061313692	0.5227630150518784	0.6875	243.0	1009.0	23454.0	77.36625514403292	34.19226957383548	0.0430203803189221	0.0	0.0			0.0	42.0	34.0	1.0	17.0	17.0	0.274	1.0	159.0	1.0	1.0	1.0	0.0	41.62537165510407	1751.0	1619.0	1	1.0	8.0	0.250420002308894	3.8790958795000727	3.243534101832062	2.6283889300503116
ENSG00000127603	Q9UPN3	7388	838308	-0.5881	5.06	0	0	421	1	7388	7388	0	7	0	0	0	22	0	0	0	1	0.012452625879805	0.2857336220898754	0.0295073091499729	0.0433134813210611	0.049269085002707	25	0.0017641471027276	0.4246333514394351	0.0866666666666666	2.2579281404869644	71	0.1372495939361126	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	8	cc	0.5022	61.0	24340.0	101.0	45.98192276088743	0.5598399011506874	0.4375	328.0	1344.0	22665.0	52.7439024390244	36.160714285714285	0.0592984778292521	1.0	1.0	2.0	2.0	0.0	13.0	12.0	31.0	72.0	26.83870967741936	0.9570870967741936	1.0	167.0	1.0	1.0	1.0	0.0	9.672619047619047	2703.0	2572.0	1	1.0	9.0	0.9380190974762104	3.868526886768204	3.4320066872695985	2.6242820958356683
ENSG00000054654	Q8WXH0	6885	796442	-0.634	5.03	1	0	390	1	6885	6885	0	5	0	0	0	7	1	0	0	1	0.014960058097313	0.2961510530137981	0.0280319535221496	0.0277414669571532	0.057516339869281	41	0.0016020972909991	0.4747121410873051	0.105	2.286096751116102	72	0.14960058097313	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	4	1	0	0	0	1	0	0	0	0	16	0	19	cc	0.4897	37.0	21822.0	116.0	42.842085968288885	0.5444273735758048	0.75	191.0	907.0	20721.0	63.87434554973822	42.33737596471885	0.043772018724965	1.0	1.0	2.0	2.0	0.0	7.0	7.0	4.0	96.0	49.0	0.149075	1.0	114.0	1.0	1.0	0.0	0.0	7.717750826901874	2063.0	2034.0	1	1.0	10.0	0.1702617153949573	3.8379039445929424	3.314709692955174	2.591064607026499
ENSG00000164199	Q8WXG9	6306	693069	0.0223	4.26	7	1	214	30	6306	6277	0	0	2	0	0	0	0	0	0	1	0.0055759120599012	0.1988210928787637	0.0477935319420105	0.0748765333758164	0.0900111518241198	104	0.0	0.105549336318567	0.0866666666666666	1.0998630928754771	50	0.1205990122670065	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	6	0	13	cc	0.3088	44.0	19557.0	90.0	42.48606637009766	0.5150028971868266	0.0625	99.0	537.0	18918.0	70.70707070707071	34.45065176908753	0.0283856644465588	1.0	1.0	4.0	4.0	0.0	0.0	0.0	0.0				0.0	145.0	1.0	1.0	1.0	0.0	0.0	103.0	99.0	1	0.6	5.0	-1.958607314841775	3.799753966411886	2.0170333392987803	2.330413773349191
ENSG00000124942	Q09666	5890	629101	-0.4988	5.99	0	0	377	1	5890	5890	0	0	0	0	0	146	0	0	0	1	0.0015280135823429	0.3101867572156196	0.1219015280135823	0.1088285229202037	0.032937181663837	8	0.0	0.6339924991476305	0.057	1.9885050276520884	73	0.1823429541595925	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	15	cc	0.5993	19.0	18761.0	5.0	49.28308725547679	0.6014643335521621	0.6875	246.0	842.0	17670.0	70.32520325203252	42.63657957244655	0.0476513865308432	1.0	1.0	3.0	3.0	0.0	7.0	7.0	30.0	100.0	18.6	0.4101999999999999	1.0	168.0	1.0	1.0	1.0	0.0	8.31353919239905	6212.0	6194.0	1	1.0	10.0	1.5658478186735176	3.7701152947871015	3.793301353613115	2.576341350205793
