uniprot	ensg	af_plddt_mean	af_frac_lt50	af_frac_lt70	af_frac_gt90	af_longest_lt50_run	af_coverage	hl_log2_hours	hl_n_values
Q8WZ42	ENSG00000155657	80.0166190531642	0.1251819505094614	0.1632896652110625	0.3115866084425036	567.0	1.0	6.905007852853825	2.0
Q8WXI7	ENSG00000181143	40.81974817739876	0.8631695043771972	0.8747501206314193	0.0420486661611635	7920.0	1.0		
Q8NF91	ENSG00000131018	81.07695304405722	0.060816187336592	0.1268614300329658	0.2153006706831874	116.0	1.0	5.819016677992506	6.0
P20929	ENSG00000183091	56.8859510012568	0.2537243401759531	0.9190615835777126	0.0011730205278592	125.0	1.0		
Q5VST9	ENSG00000154358	74.87982097437369	0.1691767068273092	0.2463604417670682	0.1902610441767068	477.0	1.0		
Q03001	ENSG00000151914	72.32797252626283	0.2433289299867899	0.2984147952443857	0.2536327608982827	929.0	1.0	4.907227185184136	1.0
Q9UPN3	ENSG00000127603	75.04374629708407	0.1821873308067136	0.2391716296697347	0.2517596101786681	590.0	1.0	5.786857696017215	7.0
Q8WXH0	ENSG00000054654	76.46988257426428	0.1318809005083515	0.2246913580246913	0.1721132897603486	186.0	1.0	5.929447796169995	6.0
Q8WXG9	ENSG00000164199	81.90629750335692	0.0438107376135096	0.1124741118368647	0.2185757527481281	84.0	1.0		
Q09666	ENSG00000124942	37.445965259924	0.9254668930390492	0.9879456706281834	0.0035653650254668	1527.0	1.0	5.850574421948958	8.0
Q8IVF2	ENSG00000185567	35.581635782078145	0.964969801553063	0.9905090595340812	0.0	1889.0	1.0		
Q9HC84	ENSG00000117983	58.34427370369448	0.5251873801638487	0.5621404915461042	0.1892975422694788	709.0	1.0		
P98088	ENSG00000215182	60.52728549002683	0.4696996623422783	0.5240803269948463	0.2018837746578994	992.0	1.0		
Q96RW7	ENSG00000143341	79.68290750589513	0.019771998574991	0.1221945137157107	0.0589597434983968	61.0	1.0		
Q9NU22	ENSG00000112159	74.66431576551278	0.1447462473195139	0.2755539671193709	0.1661901358112937	235.0	1.0	5.3154575459037385	7.0
O14686	ENSG00000167548	50.57817406709839	0.6877370417193426	0.7545602311721149	0.12028174101499	753.0	1.0	5.174606157560221	3.0
Q9UKN1	ENSG00000205277	36.99835275758051	0.9392164042475284	0.9503844745514464	0.024899304284145	4938.0	1.0		
Q99102	ENSG00000145113	60.94748763532159	0.2332838038632986	0.700594353640416	0.0832095096582466	1017.0	1.0		
Q9Y6R7	ENSG00000275395	87.24502995434517	0.0118914901523597	0.0574136008918617	0.4953548866592345	15.0	1.0		
Q02817	ENSG00000198788	60.09421211217453	0.5420383374454356	0.615866388308977	0.1751755551338014	1020.0	1.0		
P0DPF2	ENSG00000162825	35.80119615535863	0.999807950835414	1.0	0.0	4208.0	1.0		
Q63HN8	ENSG00000173821	79.15288258479885	0.1000576147493758	0.1876320338006529	0.2782792394853082	222.0	1.0	6.1634081584620475	8.0
Q5T4S7	ENSG00000127481	77.42726947070551	0.1510708084121165	0.2284391279181941	0.312560293266448	139.0	1.0	6.41026477490863	8.0
Q9Y6V0	ENSG00000186472	46.77606270489526	0.7860754570206145	0.8463632827693505	0.0832360949047063	286.0	1.0		
Q4G0P3	ENSG00000157423	76.8747263183344	0.1450888498340168	0.2149970708845928	0.2288615504784222	105.0	1.0		
P58107	ENSG00000261150	80.33956986560347	0.0646619496855346	0.1523191823899371	0.2124606918238993	45.0	1.0	4.996117537678914	1.0
Q8NDA2	ENSG00000148357	78.88117261904762	0.0267009493670886	0.1319224683544304	0.0488528481012658	50.0	1.0		
P21817	ENSG00000196218	80.56469848673889	0.1175069472012703	0.1893608574831282	0.4192139737991266	175.0	1.0		
Q2LD37	ENSG00000138688	62.38970581799153	0.4151848151848152	0.5218781218781219	0.2079920079920079	308.0	1.0		
Q6V0I7	ENSG00000196159	79.25187168964288	0.0983208577786769	0.1408051790410681	0.1404005664576168	265.0	1.0		
Q92736	ENSG00000198626	80.53685450161541	0.1079122206563317	0.1842158244413126	0.3770887859875176	79.0	1.0		
Q15751	ENSG00000103657	73.42605479472184	0.2273194815881505	0.3100185147089076	0.3217444970170747	178.0	1.0	4.396707521383976	1.0
Q9NR09	ENSG00000115760	66.45726030667569	0.3341568869672637	0.4276302244183652	0.2019765287214329	141.0	1.0	5.129901182365074	5.0
