uniprot	pep_n_7_30	pep_n_unique	pep_frac_unique	pep_n_unique_mz	pep_n_clean	pep_clean_per_kda	pep_frac_met	pep_frac_cys	pep_frac_sequon	pep_frac_slow_cleave	pep_frac_ptm_site	pep_frac_disulfide	pep_gravy_mean	pep_frac_hydrophilic	pep_frac_hydrophobic	pep_max_shared_genes	pep_frac_shared	pep_max_gap	pep_coverage_7_30	pep_coverage_clean
A0A087X1C5	23	9	0.391304347826087	9	5	0.0870290553455065	0.13043478260869565	0.21739130434782608	0.043478260869565216	0.5217391304347826	0.043478260869565216	0.0	0.028299874330234124	0.08695652173913043	0.08695652173913043	1	0.6086956521739131	37	0.6757281553398058	0.13398058252427184
A0A096LP01	6	6	1.0	6	5	0.45865962306679414	0.16666666666666666	0.0	0.0	0.6666666666666666	0.0	0.0	-0.6524981962481963	0.0	0.0	0	0.0	21	0.7894736842105263	0.5684210526315789
A0A0B4J2F0	2	2	1.0	2	1	0.15849524799214637	0.5	0.0	0.0	1.0	0.0	0.0	-0.10666666666666669	0.0	0.5	0	0.0	30	0.7407407407407407	0.5555555555555556
A0A0C5B5G6	1	1	1.0	1	0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.7090909090909091	0.0	0.0	0	0.0	11	0.6875	0.0
A0A0K2S4Q6	4	4	1.0	4	1	0.04588837718018147	0.25	0.5	0.25	0.0	0.25	0.0	0.18390858612047367	0.0	0.25	0	0.0	40	0.48258706467661694	0.0945273631840796
A0A0U1RRE5	4	4	1.0	4	3	0.4273179338999448	0.25	0.25	0.0	0.25	0.0	0.0	-1.1557870370370371	0.25	0.0	0	0.0	27	0.7941176470588235	0.6470588235294118
A0A1B0GTW7	33	33	1.0	33	13	0.15232807383342767	0.2727272727272727	0.45454545454545453	0.09090909090909091	0.42424242424242425	0.09090909090909091	0.0	-0.17676114750709812	0.030303030303030304	0.06060606060606061	0	0.0	63	0.6015228426395939	0.24746192893401014
A0A2R8Y7D0	6	6	1.0	6	6	0.5930336610412072	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	-0.3214577497665733	0.0	0.0	0	0.0	17	0.7471264367816092	0.7471264367816092
A0A8I5KQE6	12	2	0.16666666666666666	2	1	0.030405851321390773	0.25	0.16666666666666666	0.0	0.5	0.0	0.0	-0.196789609383386	0.16666666666666666	0.0	1	0.8333333333333334	71	0.576271186440678	0.061016949152542375
A0AV02	21	21	1.0	21	10	0.127896853864802	0.23809523809523808	0.2857142857142857	0.047619047619047616	0.6666666666666666	0.0	0.0	-0.20373817926224547	0.047619047619047616	0.14285714285714285	0	0.0	77	0.39355742296918766	0.1568627450980392
