ensg	uniprot	length	mw_da	gravy	pI	n_tm	has_signal	n_tryptic_7_30	mature_start	mature_end	mature_length	n_glyco_sites	n_mod_res	n_disulfide	n_lipid_sites	n_glyco_sites_observed	n_mod_res_observed	n_disulfide_observed	n_lipid_sites_observed	has_propeptide	pe_level	cysteine_fraction	charged_fraction	proline_fraction	glycine_fraction	aromatic_fraction	n_glyco_motif_count	low_complexity_fraction	disorder_fraction_proxy	pest_score_max	pest_score_sum	n_pest_regions	pest_fraction	is_secreted	is_ecm	is_membrane	is_nuclear	is_chromatin	is_cytoplasmic	is_mitochondrial	is_er_golgi	is_lysosome	is_peroxisome	is_endosome	is_vesicle	is_lipid_droplet	is_cytoskeleton	is_projection	n_compartments	is_multilocal	topo_multipass	topo_single_type1	topo_single_type2	topo_single_other	topo_peripheral	topo_lipid_anchor	topo_extracellular_aa	topo_cytoplasmic_aa	loc_n_clauses	loc_n_observed	loc_go_n_terms	loc_source	tryptic_per_kda	Transcript count	Transcript length (including UTRs and CDS)	exon_count	manual_gc_content	cai	kozak_score	utr5_length	utr3_length	cds_length	utr5_gc	utr3_gc	utr3_to_cds_ratio	is_in_complex	n_complexes	complex_size_mean	complex_size_max	in_large_complex	n_conserved_mirna_sites	n_mirna_families	uorf_count	uorf_max_length_aa	uorf_mean_length_aa	uorf_mean_phastcon	has_uorf	rbp_n_binding_rbps	rbp_hur_binding	rbp_hnrnp_binding	rbp_pumilio_binding	rbp_destab_binding	mirna_site_density
ENSG00000155657	Q8WZ42	34350	3816030	-0.4677	6.26	0	0	1771	1	34350	34350	0	14	45	0	0	1	1	0	0	1	0.014934497816593886	0.27644832605531294	0.07327510917030568	0.06014556040756914	0.06908296943231441	163	0.01127261075995456	0.3606012934801608	0.12333333333333335	13.025567283347055	440	0.18963609898107714	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	10	cc	0.4641	16.0	109224.0	363.0	44.07364681754925	0.5324963004495687	0.5	225.0	1023.0	107973.0	47.11111111111111	35.67937438905181	0.0094745908699397	1.0	1.0	2.0	2.0	0.0	8.0	8.0	0.0				0.0	160.0	1.0	1.0	1.0	0.0	7.820136852394918
ENSG00000181143	Q8WXI7	14507	1519175	-0.3207	4.93	1	0	428	1	14507	14507	102	0	14	0	0	0	0	0	0	1	0.0024815606259047354	0.1434479906252154	0.08616529951058109	0.05183704418556559	0.04032536017095195	107	0.0011733848702374379	0.02036870814057861	0.12115384615384614	12.197060742183034	261	0.3141931481353829	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	5	cc	0.2817	8.0	44086.0	88.0	50.401488000725855	0.6058928298170769	0.6875	82.0	294.0	43707.0	68.29268292682927	51.02040816326531	0.0067266112979614	0.0	0.0			0.0	1.0	1.0	0.0				0.0	41.0	1.0	1.0	0.0	0.0	3.4013605442176873
ENSG00000131018	Q8NF91	8797	1011086	-0.6216	5.22	1	0	484	1	8797	8797	0	4	2	0	0	5	0	0	0	1	0.013299988632488349	0.2908946231669887	0.02000682050699102	0.033079458906445376	0.05445038081164033	27	0.0001139211665527455	0.4394163912002736	0.08666666666666667	1.9424050061050062	75	0.12413322723655791	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	4	1	0	0	0	1	0	0	0	0	10	0	15	cc	0.4787	57.0	27708.0	146.0	46.84206727298975	0.5685993319344671	1.0	565.0	749.0	26391.0	60.53097345132743	40.32042723631509	0.0283808874237429	0.0	0.0			0.0	7.0	7.0	0.0				0.0	87.0	1.0	1.0	0.0	0.0	9.345794392523365
ENSG00000183091	P20929	8525	986665	-0.8071	9.43	0	0	563	1	8525	8525	0	0	0	0	0	0	0	0	0	1	0.00809384164222874	0.2987683284457478	0.04058651026392962	0.03331378299120235	0.09161290322580645	65	0.00047025628967787447	0.4894718268439007	0.07038461538461538	2.2679249084249093	105	0.16480938416422286	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	4	cc	0.5706	24.0	26191.0	182.0	45.34000229086328	0.6141300943864049	0.75	192.0	421.0	25575.0	44.79166666666667	33.966745843230406	0.0164613880742913	0.0	0.0			0.0	0.0	0.0	2.0	27.0	21.5	0.7553	1.0	141.0	1.0	1.0	1.0	0.0	0.0
ENSG00000154358	Q5VST9	7968	868465	-0.3489	5.85	0	0	347	1	7968	7968	0	12	39	0	0	2	0	0	0	1	0.025727911646586346	0.24209337349397592	0.05609939759036144	0.07467369477911646	0.05760542168674699	6	0.0010064159013712416	0.23413897280966767	0.08730769230769231	1.764709953617075	59	0.10931224899598393	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	8	cc	0.3996	28.0	27019.0	116.0	64.18816388467374	0.7051825010870609	0.375	160.0	81.0	26775.0	71.875	69.1358024691358	0.0030252100840336	0.0	0.0			0.0	0.0	0.0	0.0				0.0	140.0	1.0	1.0	1.0	0.0	0.0
ENSG00000151914	Q03001	7570	860662	-0.6396	4.89	0	0	425	1	7570	7570	0	8	0	0	0	3	0	0	0	1	0.011889035667107	0.2911492734478203	0.02866578599735799	0.03963011889035667	0.055085865257595776	44	0.00026486558071778574	0.4652796183408428	0.08714285714285713	2.0825789275224262	72	0.13725231175693528	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	0	7	1	22	cc	0.4938	42.0	24709.0	104.0	41.63665061313692	0.5227630150518784	0.6875	243.0	1009.0	23454.0	77.36625514403292	34.19226957383548	0.0430203803189221	0.0	0.0			0.0	42.0	34.0	1.0	17.0	17.0	0.274	1.0	159.0	1.0	1.0	1.0	0.0	41.62537165510407
ENSG00000127603	Q9UPN3	7388	838308	-0.5881	5.06	0	0	421	1	7388	7388	0	7	0	0	0	22	0	0	0	1	0.01245262587980509	0.28573362208987546	0.02950730914997293	0.04331348132106118	0.049269085002707096	25	0.0017641471027276428	0.4246333514394351	0.08666666666666667	2.2579281404869644	71	0.1372495939361126	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	8	cc	0.5022	61.0	24340.0	101.0	45.98192276088743	0.5598399011506874	0.4375	328.0	1344.0	22665.0	52.7439024390244	36.160714285714285	0.0592984778292521	1.0	1.0	2.0	2.0	0.0	13.0	12.0	31.0	72.0	26.83870967741936	0.9570870967741936	1.0	167.0	1.0	1.0	1.0	0.0	9.672619047619047
ENSG00000054654	Q8WXH0	6885	796442	-0.634	5.03	1	0	390	1	6885	6885	0	5	0	0	0	7	1	0	0	1	0.014960058097313	0.2961510530137981	0.0280319535221496	0.02774146695715323	0.05751633986928104	41	0.001602097290999126	0.4747121410873051	0.10500000000000001	2.286096751116102	72	0.14960058097313	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	4	1	0	0	0	1	0	0	0	0	16	0	19	cc	0.4897	37.0	21822.0	116.0	42.842085968288885	0.5444273735758048	0.75	191.0	907.0	20721.0	63.87434554973822	42.33737596471885	0.043772018724965	1.0	1.0	2.0	2.0	0.0	7.0	7.0	4.0	96.0	49.0	0.149075	1.0	114.0	1.0	1.0	0.0	0.0	7.717750826901874
ENSG00000164199	Q8WXG9	6306	693069	0.0223	4.26	7	1	214	30	6306	6277	0	0	2	0	0	0	0	0	0	1	0.005575912059901227	0.19882109287876373	0.04779353194201051	0.07487653337581647	0.0900111518241198	104	0.0	0.10554933631856708	0.08666666666666667	1.0998630928754771	50	0.12059901226700653	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	6	0	13	cc	0.3088	44.0	19557.0	90.0	42.48606637009766	0.5150028971868266	0.0625	99.0	537.0	18918.0	70.70707070707071	34.45065176908753	0.0283856644465588	1.0	1.0	4.0	4.0	0.0	0.0	0.0	0.0				0.0	145.0	1.0	1.0	1.0	0.0	0.0
ENSG00000124942	Q09666	5890	629101	-0.4988	5.99	0	0	377	1	5890	5890	0	0	0	0	0	146	0	0	0	1	0.0015280135823429542	0.31018675721561967	0.12190152801358234	0.10882852292020373	0.03293718166383701	8	0.0	0.6339924991476305	0.05700000000000001	1.9885050276520884	73	0.18234295415959254	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	15	cc	0.5993	19.0	18761.0	5.0	49.28308725547679	0.6014643335521621	0.6875	246.0	842.0	17670.0	70.32520325203252	42.63657957244655	0.0476513865308432	1.0	1.0	3.0	3.0	0.0	7.0	7.0	30.0	100.0	18.6	0.4101999999999999	1.0	168.0	1.0	1.0	1.0	0.0	8.31353919239905
